galaxy,R_kpc,chi_raw,chi_smooth
NGC3198,0.8081333637237549,0.41281916247317635,0.14913002356631924
NGC3198,2.4244000911712646,0.17917429028192422,0.09002478524748282
NGC3198,4.040666580200195,0.06684202658802975,0.035035402657831116
NGC3198,5.656933784484863,0.20320094287056054,0.16572890064786192
NGC3198,7.273200511932373,0.28898916235454036,0.2538993367136858
NGC3198,8.889467239379881,0.31518613133487083,0.297610618347619
NGC3198,10.505733489990234,0.3102207321282199,0.3136055047866309
NGC3198,12.122000694274902,0.3297063849022991,0.3204392142787848
NGC3198,13.73826789855957,0.32034671401295056,0.32154994022634353
NGC3198,15.35453414916992,0.31798419881912354,0.318491556539098
NGC3198,16.970802307128906,0.31819844835541183,0.31215501997650796
NGC3198,18.587066650390625,0.2940760286950341,0.3006752782298628
NGC3198,20.20333480834961,0.2880879887969378,0.2885498698974595
NGC3198,21.81960105895996,0.27534545244494224,0.27794817721981163
NGC3198,23.435867309570312,0.2664191940117335,0.2683868371299474
NGC3198,25.052135467529297,0.2604095722306269,0.2593645279203012
NGC3198,26.668399810791012,0.2443138452414233,0.2511686321990921
NGC3198,28.28466796875,0.24874186789178376,0.24547415423318952
NGC3198,29.900936126708984,0.2410671332545653,0.23747893733021633
NGC3198,31.517202377319332,0.21881231216801258,0.22535500941710895
NGC3198,33.13346862792969,0.2130782636277164,0.21564650260286763
NGC3198,34.749732971191406,0.20997577749655824,0.20986058461440812
NGC3198,36.36600112915039,0.20479983812258876,0.20442658204633712
NGC3198,37.982269287109375,0.19747682267391634,0.19761975169900103
NGC3198,39.59853363037109,0.18775185072858114,0.19053476699020092
NGC3198,41.21480178833008,0.18497305381136098,0.18478757094561885
NGC3198,42.831069946289055,0.17866597781463361,0.17979649127043246
NGC3198,44.44733428955078,0.17526698278412378,0.17222355066545975
NGC3198,46.063602447509766,0.17478800496620223,0.1471469943817845
NGC3198,47.67987060546875,0.17826235835683873,0.1287377641619064
