R_kpc,V_kms
0.51,26.7
1.01,51.2
1.52,71.2
2.02,86.0
2.53,96.8
3.03,105.4
4.04,118.0
5.05,125.8
6.06,131.2
7.07,134.8
8.08,137.4
9.09,138.8
10.1,139.6
12.12,139.7
14.14,138.5
