R_kpc,r_frac,chi_raw,chi_smooth,chi_used,mask_outer,L_adapt_kpc,L_eff_kpc,galaxy,L0_kpc,alpha,sigma_idx,taper_on,taper_r0,taper_k,mu,kernel,Rd_star_kpc
0.6495500206947327,0.01694915388678894,13.546236703131605,11.256727099590211,13.546236703131605,1.855166673191622e-24,66.66666666666667,66.66666666666667,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
1.9486501216888428,0.05084746321567167,6.4867420541596,7.6920260862850025,6.4867420541596,2.7933852068275954e-23,102.15972332018329,102.15972332018329,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
3.2477500438690186,0.08474576787863985,3.7354713701009903,4.492262658325966,3.7354713701009903,4.206090004650967e-22,128.9063238923653,128.9063238923653,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
4.5468502044677725,0.11864407876282741,2.259555453929361,2.679210026588626,2.259555453929361,6.333248235456283e-21,149.96928921412558,149.96928921412558,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
5.845950126647949,0.15254238342579562,1.6043729253170067,1.7835071109141352,1.6043729253170067,9.53617568927375e-20,161.6980102445662,161.6980102445662,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
7.145050048828125,0.1864406880887638,1.2850234908701965,1.30544878628253,1.2850234908701965,1.4358926635400279e-18,168.10620820539614,168.10620820539614,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
8.4441499710083,0.22033899275173197,0.9340835274255389,0.975179522848545,0.9340835274255389,2.1620697944220772e-17,175.76076137380784,175.76076137380784,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
9.743249893188477,0.25423729741470014,0.6816842714459967,0.7198867578269158,0.6816842714459967,3.255498070745576e-16,181.7115407095623,181.7115407095623,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
11.042350769042969,0.2881356269625459,0.5171471949532073,0.5251334857263036,0.5171471949532073,4.901917974581245e-15,185.81266507637335,185.8126650763734,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
12.341449737548828,0.32203390674063653,0.3518514008830514,0.3667119270891925,0.3518514008830514,7.380960957414923e-14,190.12342752017662,190.12342752017733,NGC2955,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,18.76
