R_kpc,r_frac,chi_raw,chi_smooth,chi_used,mask_outer,L_adapt_kpc,L_eff_kpc,galaxy,L0_kpc,alpha,sigma_idx,taper_on,taper_r0,taper_k,mu,kernel,Rd_star_kpc
0.28508332371711725,0.01694915287271729,1.000664542058662e-06,0.2915459744764359,1.000664542058662e-06,1.8551665226898708e-24,199.99961619605662,199.99961619605662,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
0.8552500009536742,0.050847460389999176,0.9642251725849683,0.6610859281504894,0.9642251725849683,2.793384575372326e-23,70.19657549627557,70.19657549627557,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
1.4254167079925537,0.08474576967912838,1.0428893595303872,0.765196646906159,1.0428893595303872,4.206090610492366e-22,66.66666666666667,66.66666666666667,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
1.9955832958221436,0.11864407188086835,0.4274076398587137,0.5349880143611565,0.4274076398587137,6.3332447486448205e-21,109.91060863335962,109.91060863335962,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
2.5657501220703125,0.15254238825738675,0.2191709094029722,0.283685798790577,0.2191709094029722,9.536179375266611e-20,140.81385468833096,140.81385468833096,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
3.1359167098999023,0.18644069045912676,0.12919583818611843,0.1404782785283778,0.12919583818611843,1.4358929358269929e-18,160.28656850547193,160.28656850547193,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
3.706083297729492,0.22033899266086673,0.010633152518993199,0.08034772097644448,0.010633152518993199,2.1620697787055277e-17,196.00315898396084,196.00315898396084,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
4.276249885559082,0.2542372948626067,0.08830236575545028,0.09728424127055584,0.08830236575545028,3.255497406078837e-16,171.03639405745653,171.03639405745653,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
4.846416473388672,0.2881355970643467,0.1593271176193331,0.15253794234700113,0.1593271176193331,4.90190624991366e-15,153.19220971507465,153.19220971507488,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
5.41658353805542,0.32203392761564353,0.22085369992824652,0.19987146875107686,0.22085369992824652,7.380973283634128e-14,140.49462966106532,140.4946296610697,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
5.98675012588501,0.3559322298173835,0.2184036244692585,0.23099602724188967,0.2184036244692585,1.1113766824662675e-12,140.95989050208104,140.95989050214666,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
6.5569167137146,0.3898305320191235,0.26165628680878855,0.264039064055107,0.26165628680878855,1.673435308390072e-11,133.17431647325927,133.17431647437755,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
7.127083301544189,0.4237288342208634,0.3063649488947121,0.298959427301347,0.3063649488947121,2.519744902814739e-10,125.9817865634955,125.98178658214621,F571-8,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,3.56
