R_kpc,r_frac,chi_raw,chi_smooth,chi_used,mask_outer,L_adapt_kpc,L_eff_kpc,galaxy,L0_kpc,alpha,sigma_idx,taper_on,taper_r0,taper_k,mu,kernel,Rd_star_kpc
0.8436999917030334,0.016949151953819283,0.9797688412661193,0.8209000788081364,0.9797688412661193,1.8551663863131808e-24,66.66666666666667,66.66666666666667,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
2.5311000347137447,0.05084745705885999,0.5292599206490045,0.5439968363755199,0.5292599206490045,2.7933838309601797e-23,96.13641577341131,96.13641577341131,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
4.218500137329102,0.08474576336130286,0.12952851693146683,0.27834112141038925,0.12952851693146683,4.2060884846251644e-22,158.17700629865408,158.17700629865408,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
5.905900001525879,0.11864406487413713,0.11007577812679636,0.1863177737860637,0.11007577812679636,6.333241198618332e-21,163.30563982266563,163.30563982266563,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
7.593299865722656,0.1525423663869714,0.24245884035212273,0.23301480123896365,0.24245884035212273,9.536162690464907e-20,133.78546556816656,133.78546556816656,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
9.28070068359375,0.18644068705824002,0.32843955680002246,0.3031036969068694,0.32843955680002246,1.4358925451623128e-18,119.7287221546969,119.7287221546969,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
10.96809959411621,0.22033896941263992,0.35275954904112145,0.34554778495264815,0.35275954904112145,2.1620657575661642e-17,116.27316832813261,116.27316832813261,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
12.655500411987305,0.25423729008390855,0.3629668329451532,0.37184676921287874,0.3629668329451532,3.255496161515921e-16,114.88156195531313,114.88156195531316,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
14.342899322509764,0.28813557243830845,0.4080960775841783,0.39391273835160034,0.4080960775841783,4.9018965927606985e-15,109.10803109992432,109.10803109992476,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
16.03030014038086,0.32203389310957714,0.41405768359006556,0.4005729610612463,0.41405768359006556,7.380952908593936e-14,108.38845061965134,108.3884506196581,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
17.717700958251953,0.3559322137808458,0.3859178229191367,0.39130973995688223,0.3859178229191367,1.1113752566564568e-12,111.87101294605519,111.87101294615313,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
19.40509986877441,0.3898304961352456,0.3759428289820861,0.3826915236487807,0.3759428289820861,1.673430504449109e-11,113.15985281147248,113.15985281292568,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
21.092500686645508,0.4237288168065143,0.3850386362191567,0.3794288171229059,0.3850386362191567,2.5197413924397997e-10,111.98342912474102,111.98342914691892,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
22.77989959716797,0.4576270991609142,0.3760009271112588,0.37371998626615766,0.3760009271112588,3.794048922096517e-09,113.15226014835265,113.15226047785723,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
24.467300415039062,0.49152541983218284,0.36111629164436604,0.3654011766338195,0.36111629164436604,5.7128285763308255e-08,115.13137734562967,115.1313821940286,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
26.15470123291016,0.5254237405034515,0.3613839826928947,0.3578469339542236,0.3613839826928947,8.601993949984446e-07,115.09517297225017,115.09524600733101,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
27.842100143432617,0.5593220228578514,0.34947202793880877,0.3488455406669788,0.34947202793880877,1.2952119392264783e-05,116.7285773443639,116.7296558857721,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
29.52949905395508,0.5932203052122513,0.3363942328924203,0.33881747245883953,0.3363942328924203,0.00019498838009885167,118.57608048879676,118.59195720696356,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
31.21689987182617,0.6271186258835199,0.33185233129359754,0.3294261436405801,0.33185233129359754,0.0029279809028850377,119.23147394453729,119.46796264638186,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
32.904300689697266,0.6610169465547886,0.3181565276460559,0.3199789723033884,0.3181565276460559,0.0423447145909125,121.25237506251788,124.5869207652078,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
34.59170150756836,0.6949152672260572,0.30977112032141424,0.31200868691296657,0.30977112032141424,0.39968479813377816,122.52386072341362,153.48989581036054,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
36.27909851074219,0.7288135112635884,0.3092794367942131,0.3046174136781892,0.3092794367942131,0.9092969637312607,122.59924321656179,192.97951635024393,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
37.96649932861328,0.762711831934857,0.29389977665171946,0.2948925917866383,0.29389977665171946,0.9934188740537208,125.00492414369658,199.5064479604389,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
39.653900146484375,0.7966101526061257,0.28095801747965915,0.28655316364215666,0.28095801747965915,0.9995602270900913,127.10364567691973,199.96794215813762,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
41.34130096435546,0.8305084732773942,0.2845574028532935,0.2824956908083195,0.2845574028532935,0.9999707814589042,126.51290407527743,199.9978528142677,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
43.02870178222656,0.8644067939486629,0.2805806439592131,0.2783613276280025,0.2805806439592131,0.9999980594622964,127.16590099832875,199.9998586626848,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
44.716102600097656,0.8983051146199316,0.27038530543782113,0.272716168696167,0.27038530543782113,0.9999998711232478,128.87121605244272,199.99999083315336,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
46.40349960327149,0.9322033586574628,0.2668639270202116,0.26955649720223307,0.2668639270202116,0.999999991440882,129.47089270884436,199.99999939633307,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
48.09090042114258,0.9661016793287314,0.267646435847469,0.27169053959882444,0.267646435847469,0.9999999994315651,129.33715278848223,199.99999995983276,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
49.77830123901367,1.0,0.2810428065894304,0.276988439279109,0.2810428065894304,0.9999999999622486,127.08966640029662,199.99999999724753,NGC3992,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,4.96
