R_kpc,r_frac,chi_raw,chi_smooth,chi_used,mask_outer,L_adapt_kpc,L_eff_kpc,galaxy,L0_kpc,alpha,sigma_idx,taper_on,taper_r0,taper_k,mu,kernel,Rd_star_kpc
0.05738333612680435,0.016949152803467756,1.8863060808706513e-06,1.593955262245099e-06,1.8863060808706513e-06,1.8551665124123235e-24,199.99554579027222,199.99554579027222,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.17215001583099365,0.050847460611060075,9.813532222292956e-07,1.1377022163449613e-06,9.813532222292956e-07,2.7933846247729665e-23,199.99768266676477,199.99768266676477,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.2869166731834412,0.08474576181668199,6.555008436643906e-07,1.2291207272410276e-05,6.555008436643906e-07,4.2060879648802606e-22,199.99845211723934,199.99845211723934,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.4016833305358887,0.1186440630223039,3.79607677907855e-07,0.0004067578934263352,3.79607677907855e-07,6.333240260369864e-21,199.99910360131466,199.99910360131466,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.516450047492981,0.15254238183318022,3.3023600741282694e-08,0.005447250250933932,3.3023600741282694e-08,9.536174474277028e-20,199.99992201834908,199.99992201834908,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.6312166452407837,0.1864406654335477,4.122639926331499e-07,0.030845370826740343,4.122639926331499e-07,1.435890061105709e-18,199.99902648766076,199.99902648766076,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.7459833621978759,0.220338984244424,0.08657450180125227,0.08514447667904701,0.08657450180125227,2.1620683229510826e-17,98.90307231617832,98.90307231617832,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.8607500791549682,0.25423730305530035,0.16939158110057184,0.1377130963374223,0.16939158110057184,3.255499539782967e-16,66.66666666666667,66.66666666666671,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
0.9755167365074157,0.2881356042609222,0.16461454952015472,0.15917911082696135,0.16461454952015472,4.9019090720695515e-15,67.94406563831713,67.94406563831778,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
1.0902833938598633,0.32203390546654415,0.16009887851739313,0.15979253951391378,0.16009887851739313,7.380960205092867e-14,69.19741420256979,69.19741420257944,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
1.205049991607666,0.35593218906691165,0.1558261349426246,0.1554489709642276,0.1558261349426246,1.1113730593422369e-12,70.42666931650052,70.42666931664452,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
1.3198167085647583,0.389830507877788,0.151774973788985,0.1458589687256256,0.151774973788985,1.6734320764761343e-11,71.63320234273918,71.63320234488732,KK98-251,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,1.34
