R_kpc,V_baryon,V_total_H1,V_total_H2,dV_H2_minus_H1,L_eff_kpc,galaxy,L0_kpc,mu,kernel,basis_L_min_kpc,basis_L_max_kpc,outer_rfrac,outer_tol_kms,outer_max_abs_dV_kms,outer_pass,strict_radii
0.8436999917030334,56.697486877441406,340.3178994167683,342.902350531684,2.584451114915737,66.66666666666667,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
2.5311000347137447,113.39436340332033,501.8830159234172,504.50419957277643,2.6211836493592386,96.13641577341131,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
4.218500137329102,154.24122619628906,575.0689452386384,576.2994301817201,1.2304849430817058,158.17700629865408,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
5.905900001525879,181.4883270263672,585.915261421053,586.9253679413695,1.0101065203165263,163.30563982266565,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
7.593299865722656,199.12528991699216,583.2382868546058,585.1680024318931,1.9297155772873111,133.78546556816656,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
9.28070068359375,209.20071411132807,563.244518584283,565.1246443432128,1.8801257589298075,119.7287221546969,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
10.96809959411621,213.81082153320312,533.3921178269104,535.1320934026959,1.7399755757854791,116.2731683281326,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
12.655500411987305,216.83845520019528,509.9067850108724,511.5763372567945,1.669552245922091,114.88156195531316,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
14.342899322509764,215.9189910888672,479.654718766628,481.35513063868757,1.7004118720595898,109.10803109992476,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
16.03030014038086,212.34187316894528,445.5832343725766,446.97482296000413,1.3915885874275205,108.3884506196581,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
17.717700958251953,208.68817138671875,416.85268167908913,418.1560159820083,1.3033343029191542,111.87101294615312,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
19.40509986877441,205.07769775390625,392.023030121232,393.1584665847171,1.135436463485064,113.15985281292568,NGC3992,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,2.0780205246864796,0,0
