R_kpc,V_baryon,V_kernel,V_total
8.081333637237548828e-01,4.929423522949218750e+01,2.440679321289062500e+02,2.489961395263671875e+02
2.424400091171264648e+00,9.401480865478515625e+01,3.358189086914062500e+02,3.487307128906250000e+02
4.040666580200195312e+00,1.219297561645507812e+02,3.652315368652343750e+02,3.850466613769531250e+02
5.656933784484863281e+00,1.385337982177734375e+02,3.582445678710937500e+02,3.840973510742187500e+02
7.273200511932373047e+00,1.469647369384765625e+02,3.354679565429687500e+02,3.662477111816406250e+02
8.889467239379882812e+00,1.493472595214843750e+02,3.032698974609375000e+02,3.380491638183593750e+02
1.050573348999023438e+01,1.504821929931640625e+02,2.782723083496093750e+02,3.163547973632812500e+02
1.212200069427490234e+01,1.485625457763671875e+02,2.526537017822265625e+02,2.930950927734375000e+02
1.373826789855957031e+01,1.453353576660156250e+02,2.272754516601562500e+02,2.697712097167968750e+02
1.535453414916992188e+01,1.420245971679687500e+02,2.043071899414062500e+02,2.488220520019531250e+02
1.697080230712890625e+01,1.370919494628906250e+02,1.827103576660156250e+02,2.284234619140625000e+02
1.858706665039062500e+01,1.329460754394531250e+02,1.627267150878906250e+02,2.101300506591796875e+02
2.020333480834960938e+01,1.286774902343750000e+02,1.493363037109375000e+02,1.971274414062500000e+02
2.181960105895996094e+01,1.242777099609375000e+02,1.358202972412109375e+02,1.840980834960937500e+02
2.343586730957031250e+01,1.204360580444335938e+02,1.197156219482421875e+02,1.698136444091796875e+02
2.505213546752929688e+01,1.161054611206054688e+02,1.127304000854492188e+02,1.618289947509765625e+02
2.666839981079101562e+01,1.125098190307617188e+02,9.893911743164062500e+01,1.498245849609375000e+02
2.828466796875000000e+01,1.088263092041015625e+02,9.685714721679687500e+01,1.456862182617187500e+02
2.990093612670898438e+01,1.048180236816406250e+02,9.019770050048828125e+01,1.382839202880859375e+02
3.151720237731933594e+01,1.016005554199218750e+02,7.880175781250000000e+01,1.285783386230468750e+02
3.313346862792968750e+01,9.864098358154296875e+01,8.282154083251953125e+01,1.288000488281250000e+02
3.474973297119140625e+01,9.561870574951171875e+01,7.918141174316406250e+01,1.241476287841796875e+02
3.636600112915039062e+01,9.279560089111328125e+01,6.605776977539062500e+01,1.139063339233398438e+02
3.798226928710937500e+01,8.998468780517578125e+01,7.424112701416015625e+01,1.166575698852539062e+02
3.959853363037109375e+01,8.752290344238281250e+01,6.266351318359375000e+01,1.076428070068359375e+02
4.121480178833007812e+01,8.511949157714843750e+01,7.067415618896484375e+01,1.106352767944335938e+02
4.283106994628906250e+01,8.277556610107421875e+01,6.905723571777343750e+01,1.077993316650390625e+02
4.444733428955078125e+01,8.065837097167968750e+01,5.723146438598632812e+01,9.890001678466796875e+01
4.606360244750976562e+01,7.843708801269531250e+01,6.473579406738281250e+01,1.017010269165039062e+02
4.767987060546875000e+01,7.637423706054687500e+01,5.517015457153320312e+01,9.421660614013671875e+01
