R_kpc,V_baryon,V_kernel,V_total
2.009333372116088867e-01,1.935385322570800781e+01,3.187161064147949219e+01,3.728768157958984375e+01
6.028000116348266602e-01,3.352185440063476562e+01,5.520325088500976562e+01,6.458415985107421875e+01
1.004666686058044434e+00,4.443943405151367188e+01,6.745835113525390625e+01,8.078051757812500000e+01
1.406533360481262207e+00,5.385715866088867188e+01,7.438508605957031250e+01,9.183536529541015625e+01
1.808400034904479980e+00,6.069435882568359375e+01,7.666983795166015625e+01,9.778583526611328125e+01
2.210266590118408203e+00,6.667897033691406250e+01,7.250348663330078125e+01,9.850299072265625000e+01
2.612133502960205078e+00,7.098595428466796875e+01,6.930362701416015625e+01,9.920684814453125000e+01
3.013999938964843750e+00,7.475872802734375000e+01,6.904948425292968750e+01,1.017678680419921875e+02
3.415866851806640625e+00,7.613573455810546875e+01,6.944866180419921875e+01,1.030522537231445312e+02
3.817733287811279297e+00,7.849545288085937500e+01,6.323799133300781250e+01,1.007997055053710938e+02
4.219599723815917969e+00,7.886457061767578125e+01,5.892038345336914062e+01,9.844405364990234375e+01
4.621466636657714844e+00,7.984802246093750000e+01,5.815452194213867188e+01,9.878084564208984375e+01
5.023333549499511719e+00,7.981958007812500000e+01,5.377810668945312500e+01,9.624578094482421875e+01
5.425199985504150391e+00,7.959625244140625000e+01,6.214459991455078125e+01,1.009827423095703125e+02
5.827066421508789062e+00,8.083764648437500000e+01,5.063714981079101562e+01,9.538787078857421875e+01
6.228933334350585938e+00,7.992964172363281250e+01,4.735580062866210938e+01,9.290489196777343750e+01
6.630800247192382812e+00,7.896509552001953125e+01,4.770454025268554688e+01,9.225621032714843750e+01
7.032666683197021484e+00,7.770003509521484375e+01,4.153534698486328125e+01,8.810494232177734375e+01
7.434533119201660156e+00,7.677536773681640625e+01,4.926675796508789062e+01,9.122319030761718750e+01
7.836400032043457031e+00,7.598125457763671875e+01,3.752977752685546875e+01,8.474452972412109375e+01
8.238266944885253906e+00,7.445996856689453125e+01,3.476453399658203125e+01,8.217578887939453125e+01
8.640132904052734375e+00,7.388099670410156250e+01,3.950003051757812500e+01,8.377741241455078125e+01
9.041999816894531250e+00,7.244828796386718750e+01,3.115871047973632812e+01,7.886456298828125000e+01
9.443866729736328125e+00,7.103141784667968750e+01,3.908897018432617188e+01,8.107656860351562500e+01
9.845733642578125000e+00,7.009134674072265625e+01,2.765198898315429688e+01,7.534871673583984375e+01
1.024760055541992188e+01,6.990557098388671875e+01,2.684266662597656250e+01,7.488202667236328125e+01
1.064946651458740234e+01,6.815003967285156250e+01,3.401882171630859375e+01,7.616894531250000000e+01
1.105133342742919922e+01,6.706659698486328125e+01,2.342289733886718750e+01,7.103914642333984375e+01
1.145320034027099609e+01,6.572886657714843750e+01,3.463815307617187500e+01,7.429727935791015625e+01
1.185506629943847656e+01,6.448912048339843750e+01,2.053700256347656250e+01,6.768024444580078125e+01
