R_kpc,V_baryon,V_kernel,V_total
2.009333372116088867e-01,1.935385322570800781e+01,3.195051765441894531e+01,3.735514831542968750e+01
6.028000116348266602e-01,3.352185440063476562e+01,5.533992004394531250e+01,6.470101928710937500e+01
1.004666686058044434e+00,4.443943405151367188e+01,6.762537384033203125e+01,8.092005157470703125e+01
1.406533360481262207e+00,5.385715866088867188e+01,7.456928253173828125e+01,9.198462677001953125e+01
1.808400034904479980e+00,6.069435882568359375e+01,7.685971832275390625e+01,9.793478393554687500e+01
2.210266590118408203e+00,6.667897033691406250e+01,7.268312835693359375e+01,9.863529968261718750e+01
2.612133502960205078e+00,7.098595428466796875e+01,6.947537994384765625e+01,9.932690429687500000e+01
3.013999938964843750e+00,7.475872802734375000e+01,6.922075653076171875e+01,1.018841552734375000e+02
3.415866851806640625e+00,7.613573455810546875e+01,6.962054443359375000e+01,1.031681671142578125e+02
3.817733287811279297e+00,7.849545288085937500e+01,6.339454650878906250e+01,1.008979873657226562e+02
4.219599723815917969e+00,7.886457061767578125e+01,5.906622314453125000e+01,9.853141021728515625e+01
4.621466636657714844e+00,7.984802246093750000e+01,5.829866409301757812e+01,9.886576843261718750e+01
5.023333549499511719e+00,7.981958007812500000e+01,5.391100311279296875e+01,9.632009887695312500e+01
5.425199985504150391e+00,7.959625244140625000e+01,6.229863357543945312e+01,1.010776138305664062e+02
5.827066421508789062e+00,8.083764648437500000e+01,5.076253890991210938e+01,9.545449829101562500e+01
6.228933334350585938e+00,7.992964172363281250e+01,4.747320556640625000e+01,9.296479797363281250e+01
6.630800247192382812e+00,7.896509552001953125e+01,4.782354736328125000e+01,9.231781005859375000e+01
7.032666683197021484e+00,7.770003509521484375e+01,4.163810348510742188e+01,8.815342712402343750e+01
7.434533119201660156e+00,7.677536773681640625e+01,4.939018249511718750e+01,9.128990936279296875e+01
7.836400032043457031e+00,7.598125457763671875e+01,3.762225723266601562e+01,8.478552246093750000e+01
8.238266944885253906e+00,7.445996856689453125e+01,3.485025024414062500e+01,8.221208953857421875e+01
8.640132904052734375e+00,7.388099670410156250e+01,3.959796142578125000e+01,8.382362365722656250e+01
9.041999816894531250e+00,7.244828796386718750e+01,3.123649024963378906e+01,7.889532470703125000e+01
9.443866729736328125e+00,7.103141784667968750e+01,3.918545913696289062e+01,8.112313079833984375e+01
9.845733642578125000e+00,7.009134674072265625e+01,2.772212028503417969e+01,7.537448120117187500e+01
1.024760055541992188e+01,6.990557098388671875e+01,2.690924835205078125e+01,7.490591430664062500e+01
1.064946651458740234e+01,6.815003967285156250e+01,3.410233688354492188e+01,7.620627593994140625e+01
1.105133342742919922e+01,6.706659698486328125e+01,2.348126411437988281e+01,7.105841064453125000e+01
1.145320034027099609e+01,6.572886657714843750e+01,3.472385787963867188e+01,7.433727264404296875e+01
1.185506629943847656e+01,6.448912048339843750e+01,2.058805847167968750e+01,6.769575500488281250e+01
