R_kpc,V_baryon,V_kernel,V_total
8.081333637237548828e-01,4.929423522949218750e+01,2.446634063720703125e+02,2.495798645019531250e+02
2.424400091171264648e+00,9.401480865478515625e+01,3.366400451660156250e+02,3.495215454101562500e+02
4.040666580200195312e+00,1.219297561645507812e+02,3.661302490234375000e+02,3.858992309570312500e+02
5.656933784484863281e+00,1.385337982177734375e+02,3.591245117187500000e+02,3.849182128906250000e+02
7.273200511932373047e+00,1.469647369384765625e+02,3.362834167480468750e+02,3.669947814941406250e+02
8.889467239379882812e+00,1.493472595214843750e+02,3.040287475585937500e+02,3.387301025390625000e+02
1.050573348999023438e+01,1.504821929931640625e+02,2.789555053710937500e+02,3.169559326171875000e+02
1.212200069427490234e+01,1.485625457763671875e+02,2.532779541015625000e+02,2.936333618164062500e+02
1.373826789855957031e+01,1.453353576660156250e+02,2.278409729003906250e+02,2.702478027343750000e+02
1.535453414916992188e+01,1.420245971679687500e+02,2.048099060058593750e+02,2.492350006103515625e+02
1.697080230712890625e+01,1.370919494628906250e+02,1.831295776367187500e+02,2.287589263916015625e+02
1.858706665039062500e+01,1.329460754394531250e+02,1.631424560546875000e+02,2.104521789550781250e+02
2.020333480834960938e+01,1.286774902343750000e+02,1.497165832519531250e+02,1.974156799316406250e+02
2.181960105895996094e+01,1.242777099609375000e+02,1.361732940673828125e+02,1.843586578369140625e+02
2.343586730957031250e+01,1.204360580444335938e+02,1.200049057006835938e+02,1.700177154541015625e+02
2.505213546752929688e+01,1.161054611206054688e+02,1.130362091064453125e+02,1.620421600341796875e+02
2.666839981079101562e+01,1.125098190307617188e+02,9.920185089111328125e+01,1.499982147216796875e+02
2.828466796875000000e+01,1.088263092041015625e+02,9.709951019287109375e+01,1.458474578857421875e+02
2.990093612670898438e+01,1.048180236816406250e+02,9.046714019775390625e+01,1.384598236083984375e+02
3.151720237731933594e+01,1.016005554199218750e+02,7.899690246582031250e+01,1.286980285644531250e+02
3.313346862792968750e+01,9.864098358154296875e+01,8.320465850830078125e+01,1.290467376708984375e+02
3.474973297119140625e+01,9.561870574951171875e+01,7.929685211181640625e+01,1.242212829589843750e+02
3.636600112915039062e+01,9.279560089111328125e+01,6.607461547851562500e+01,1.139161071777343750e+02
3.798226928710937500e+01,8.998468780517578125e+01,7.425434112548828125e+01,1.166659774780273438e+02
3.959853363037109375e+01,8.752290344238281250e+01,6.287423706054687500e+01,1.077656173706054688e+02
4.121480178833007812e+01,8.511949157714843750e+01,7.099048614501953125e+01,1.108376159667968750e+02
4.283106994628906250e+01,8.277556610107421875e+01,6.929334259033203125e+01,1.079507369995117188e+02
4.444733428955078125e+01,8.065837097167968750e+01,5.732621765136718750e+01,9.895487976074218750e+01
4.606360244750976562e+01,7.843708801269531250e+01,6.477706909179687500e+01,1.017273101806640625e+02
4.767987060546875000e+01,7.637423706054687500e+01,5.531004714965820312e+01,9.429859924316406250e+01
