R_kpc,V_baryon,V_kernel,V_total
4.308333396911621094e-01,2.892327499389648438e+01,1.578411865234375000e+02,1.604692993164062500e+02
1.292500019073486328e+00,5.406490325927734375e+01,2.444134521484375000e+02,2.503217010498046875e+02
2.154166698455810547e+00,6.994910430908203125e+01,2.404240570068359375e+02,2.503928985595703125e+02
3.015833377838134766e+00,8.170206451416015625e+01,2.573835754394531250e+02,2.700398559570312500e+02
3.877500057220458984e+00,8.824371337890625000e+01,2.530149536132812500e+02,2.679617919921875000e+02
4.739166736602783203e+00,9.069406890869140625e+01,2.211923828125000000e+02,2.390637664794921875e+02
5.600833415985107422e+00,9.235676574707031250e+01,2.148429718017578125e+02,2.338531036376953125e+02
6.462500095367431641e+00,9.276543426513671875e+01,1.912468109130859375e+02,2.125576782226562500e+02
7.324166774749755859e+00,9.151464843750000000e+01,1.785357818603515625e+02,2.006239166259765625e+02
8.185832977294921875e+00,8.984117126464843750e+01,1.587562255859375000e+02,1.824143066406250000e+02
9.047500610351562500e+00,8.834761047363281250e+01,1.399143524169921875e+02,1.654730377197265625e+02
9.909166336059570312e+00,8.614759063720703125e+01,1.395412292480468750e+02,1.639913482666015625e+02
1.077083396911621094e+01,8.339957427978515625e+01,1.237535629272460938e+02,1.492328186035156250e+02
1.163249969482421875e+01,8.070115661621093750e+01,1.173868560791015625e+02,1.424512176513671875e+02
1.249416732788085938e+01,7.807101440429687500e+01,1.065294265747070312e+02,1.320742340087890625e+02
1.335583305358886719e+01,7.562115478515625000e+01,1.030723648071289062e+02,1.278376770019531250e+02
1.421750068664550781e+01,7.341851043701171875e+01,9.773153686523437500e+01,1.222363739013671875e+02
1.507916641235351562e+01,7.169306182861328125e+01,9.577813720703125000e+01,1.196383972167968750e+02
1.594083309173583984e+01,6.998336029052734375e+01,6.139295959472656250e+01,9.309546661376953125e+01
1.680249977111816406e+01,6.798917388916015625e+01,8.828554534912109375e+01,1.114309921264648438e+02
1.766416549682617188e+01,6.613248443603515625e+01,8.880107879638671875e+01,1.107209854125976562e+02
1.852583312988281250e+01,6.452092742919921875e+01,8.573560333251953125e+01,1.073011856079101562e+02
1.938750076293945312e+01,6.279036712646484375e+01,8.177338409423828125e+01,1.030995483398437500e+02
2.024916648864746094e+01,6.114004135131835938e+01,8.164259338378906250e+01,1.019981307983398438e+02
2.111083221435546875e+01,5.976923751831054688e+01,8.052658843994140625e+01,1.002840576171875000e+02
2.197249984741210938e+01,5.856457138061523438e+01,3.338785934448242188e+01,6.741333770751953125e+01
2.283416748046875000e+01,5.726811981201171875e+01,7.839745330810546875e+01,9.708654785156250000e+01
2.369583320617675781e+01,5.594131469726562500e+01,7.751007080078125000e+01,9.558892059326171875e+01
2.455749893188476562e+01,5.468371200561523438e+01,7.560497283935546875e+01,9.330819702148437500e+01
2.541916656494140625e+01,5.353006362915039062e+01,7.581328582763671875e+01,9.280690765380859375e+01
