R_kpc,V_baryon,V_total_H1,V_total_H2,dV_H2_minus_H1,L_eff_kpc,galaxy,L0_kpc,mu,kernel,basis_L_min_kpc,basis_L_max_kpc,outer_rfrac,outer_tol_kms,outer_max_abs_dV_kms,outer_pass,strict_radii
0.2009333372116089,19.353853225708008,37.25601621493141,37.25684774079572,0.0008315258643136758,199.9992728714038,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
0.6028000116348267,33.521854400634766,64.52931044473294,64.598471657637,0.06916121290406352,124.01695163478436,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
1.0046666860580444,44.43943405151367,80.71505019489135,80.8297077029213,0.1146575080299499,93.74252268753048,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
1.4065333604812622,53.85715866088867,91.76536306912224,91.83069470798046,0.06533163885821125,143.96064202449327,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
1.80840003490448,60.694358825683594,97.7159557631237,97.76670612527538,0.05075036215167472,156.2740896661942,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
2.210266590118408,66.67897033691406,98.44086800505912,98.51848655917432,0.07761855411520457,124.70195618303472,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
2.6121335029602046,70.98595428466797,99.15099448473892,99.23934888561955,0.08835440088063251,104.32821899700733,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
3.013999938964844,74.75872802734375,101.71282440906639,101.81830164648437,0.1054772374179862,83.05557082784681,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
3.4158668518066406,76.13573455810547,102.9985845178009,103.10774621200156,0.10916169420066524,77.11768178487173,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
3.8177332878112793,78.49545288085938,100.75431827031419,100.84586368478632,0.0915454144721366,78.29998485934894,NGC5585,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.0045514906934300825,1,0
