R_kpc,V_baryon,V_total_H1,V_total_H2,dV_H2_minus_H1,L_eff_kpc,galaxy,L0_kpc,mu,kernel,basis_L_min_kpc,basis_L_max_kpc,outer_rfrac,outer_tol_kms,outer_max_abs_dV_kms,outer_pass,strict_radii
0.8081333637237549,49.29421615600586,246.48712684324263,248.74349636501736,2.2563695217747295,66.66666666666667,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
2.4244000911712646,94.0147705078125,345.34775515976247,347.4911530829522,2.1433979231897524,107.0633895674644,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
4.040666580200195,121.92969512939452,381.4161300645438,382.8628415293149,1.4467114647711128,151.07657215987456,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
5.656933784484863,138.53372192382812,380.60442091512823,382.96868144045357,2.364260525325335,100.78333884926948,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
7.273200511932373,146.96466064453125,363.0065791503472,365.5940154194067,2.5874362690594808,83.33068418394936,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
8.889467239379881,149.34716796875,335.20422051743486,337.5531780235916,2.3489575061567507,79.14542863820412,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
10.505733489990234,150.4821014404297,313.81158520532546,315.9054330626001,2.093847857274625,79.90610535113383,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
12.122000694274902,148.5624542236328,290.83003155088545,292.7189501879791,1.8889186370936386,77.0018407484307,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
13.73826789855957,145.33526611328125,267.7368632768023,269.4369589251409,1.7000956483386176,78.37004819802218,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
15.35453414916992,142.02450561523435,247.05043061233707,248.52264826936792,1.4722176570308534,78.72312338055674,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
16.970802307128906,137.09185791015625,226.88884760399728,228.13484188725573,1.2459942832584545,78.69097291456687,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
18.587066650390625,132.9459686279297,208.75749761367453,209.8783814302943,1.1208838166197665,82.48372266675543,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
20.20333480834961,128.67739868164062,195.8850978284192,196.89344635070992,1.0083485222907314,83.48254625202088,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
21.81960105895996,124.27761840820312,182.9843190654369,183.87883780796807,0.8945187425311758,85.69068005533784,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
23.435867309570312,120.4359664916992,168.83289870129698,169.6053946243731,0.7724959230761215,87.30839037798785,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
25.052135467529297,116.10537719726562,160.9416674526106,161.65642700522537,0.7147595526147654,88.43244914330863,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
26.668399810791012,112.5097427368164,149.05305305033787,149.64379515223692,0.5907421018990533,91.59175382637642,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
28.28466796875,108.82622528076172,145.0005760988176,145.50644414211985,0.5058680433022573,90.7206089105877,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
29.900936126708984,104.81793975830078,137.65924910550268,138.13181120028156,0.4725620947788798,92.5703688694236,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
31.517202377319332,101.60047912597656,128.0671406491698,128.40313437788845,0.3359937287186483,101.4412136178774,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
33.13346862792969,98.64091491699217,128.1199749841043,128.48440514739931,0.364430163295026,139.01408963891072,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
34.749732971191406,95.6186294555664,123.58424132080148,123.70113125443281,0.11688993363132738,190.85199922814425,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
36.36600112915039,92.7955322265625,113.47731929092897,113.55107928738097,0.07375999645199727,199.34446333225756,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
37.982269287109375,89.98462677001953,116.10311446219256,116.20875401253319,0.10563955034062644,199.9569953758377,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
39.59853363037109,87.52284240722656,107.41718873201904,107.29997084363656,-0.11721788838248415,199.99721643898852,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
41.21480178833008,85.11943054199217,110.38317714735525,110.21078505834964,-0.1723920890056121,199.9998165740957,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
42.831069946289055,82.7755126953125,107.5267620541804,107.38358307216883,-0.14317898201156254,199.99998804081156,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
44.44733428955078,80.65831756591795,98.63353657981021,98.58905792414588,-0.044478655664335065,199.99999921392404,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
46.063602447509766,78.43703460693358,101.51534722108669,101.31519317625265,-0.20015404483403643,199.99999994787183,NGC3198,200.0,10.0,ananta-hybrid,10.0,200.0,0.7,2.0,0.2217127371189207,1,0
