Galaxy,Regime,n_inner_points,nfw_sigma_baseline,nfw_max_abs_delta_sigma_harmonized,metric_status,notes
NGC3992,baryon-dom,4,0.056320,0.052452,valid,"NFW fit: V200=161.0 km/s, C200=12.10, rs=18.23 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC4085,baryon-dom,3,0.280553,0.023159,valid,"NFW fit: V200=100.4 km/s, C200=9.01, rs=15.26 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC4088,baryon-dom,6,0.190425,0.021033,valid,"NFW fit: V200=138.9 km/s, C200=6.40, rs=29.74 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC4100,balanced,11,0.067458,0.040898,valid,"NFW fit: V200=113.5 km/s, C200=11.43, rs=13.60 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC4183,balanced,12,0.050665,0.071951,valid,"NFW fit: V200=80.4 km/s, C200=10.89, rs=10.12 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC4214,baryon-dom,7,0.075850,0.028483,valid,"NFW fit: V200=62.6 km/s, C200=8.98, rs=9.55 kpc; max perturbation scenario: delta_sigma_mass_m20"
NGC4389,baryon-dom,2,0.459265,0.018145,insufficient_inner_points,"NFW fit: V200=84.0 km/s, C200=7.09, rs=16.23 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC4559,balanced,16,0.126984,0.047394,valid,"NFW fit: V200=94.3 km/s, C200=8.78, rs=14.71 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC5033,baryon-dom,12,0.116293,0.042991,valid,"NFW fit: V200=133.2 km/s, C200=18.05, rs=10.10 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC5055,balanced,18,0.160641,0.025559,valid,"NFW fit: V200=118.4 km/s, C200=12.20, rs=13.29 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC5585,baryon-dom,15,0.132057,0.044845,valid,"NFW fit: V200=82.8 km/s, C200=6.20, rs=18.29 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC6503,balanced,15,0.085545,0.054800,valid,"NFW fit: V200=81.9 km/s, C200=13.60, rs=8.25 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC6789,baryon-dom,2,0.042759,0.079529,insufficient_inner_points,"NFW fit: V200=45.4 km/s, C200=14.61, rs=4.25 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC6946,baryon-dom,29,0.124837,0.025022,valid,"NFW fit: V200=125.1 km/s, C200=8.43, rs=20.34 kpc; max perturbation scenario: delta_sigma_mass_p20"
NGC7793,baryon-dom,36,0.129667,0.021617,valid,"NFW fit: V200=82.6 km/s, C200=7.36, rs=15.38 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC00191,balanced,7,0.064191,0.069297,valid,"NFW fit: V200=67.8 km/s, C200=9.74, rs=9.54 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC00634,balanced,1,0.021761,0.076115,insufficient_inner_points,"NFW fit: V200=74.5 km/s, C200=6.28, rs=16.26 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC00731,balanced,6,0.018165,0.110466,valid,"NFW fit: V200=55.2 km/s, C200=9.37, rs=8.06 kpc; max perturbation scenario: delta_sigma_mass_m20"
UGC02259,balanced,3,0.017697,0.094497,valid,"NFW fit: V200=64.4 km/s, C200=15.99, rs=5.52 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC02916,balanced,36,0.121810,0.034896,valid,"NFW fit: V200=140.2 km/s, C200=14.16, rs=13.56 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC03580,balanced,39,0.207952,0.039405,valid,"NFW fit: V200=99.7 km/s, C200=11.53, rs=11.85 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC04278,balanced,12,0.124689,0.073612,valid,"NFW fit: V200=76.1 km/s, C200=5.52, rs=18.89 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC05005,DM-dom,7,0.160395,0.074338,valid,"NFW fit: V200=74.1 km/s, C200=5.95, rs=17.06 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC05716,balanced,5,0.009937,0.088903,valid,"NFW fit: V200=56.5 km/s, C200=8.72, rs=8.87 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC05918,balanced,3,0.090241,0.101582,valid,"NFW fit: V200=46.2 km/s, C200=8.75, rs=7.24 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC05999,DM-dom,2,0.104563,0.062504,insufficient_inner_points,"NFW fit: V200=71.6 km/s, C200=6.48, rs=15.14 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC06399,DM-dom,4,0.111673,0.076790,valid,"NFW fit: V200=73.1 km/s, C200=8.55, rs=11.72 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC06628,baryon-dom,3,0.246044,0.083856,valid,"NFW fit: V200=74.5 km/s, C200=8.77, rs=11.64 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC06818,baryon-dom,3,0.238113,0.065672,valid,"NFW fit: V200=62.7 km/s, C200=6.89, rs=12.46 kpc; max perturbation scenario: delta_sigma_mass_p20"
