R_kpc,V_baryon,V_kernel,V_total
1.143816709518432617e+00,1.057854919433593750e+02,8.277074517235272424e+02,8.344400493451612419e+02
3.431450128555297852e+00,1.981209869384765625e+02,1.043902903201185381e+03,1.062537150923728177e+03
5.719083309173583984e+00,2.406171722412109375e+02,1.001701059340201596e+03,1.030194951105509062e+03
8.006716728210449219e+00,2.552012176513671875e+02,8.894237515435022488e+02,9.253119852060534640e+02
1.029434967041015625e+01,2.535926513671875000e+02,7.532798686623677895e+02,7.948206054871716333e+02
1.258198356628417969e+01,2.436930999755859375e+02,6.259964395116045353e+02,6.717573002254653147e+02
1.486961650848388672e+01,2.309205474853515625e+02,5.095366581868838125e+02,5.594210460981131519e+02
1.715724945068359375e+01,2.182915649414062500e+02,4.255383850166396655e+02,4.782615645792790247e+02
1.944488334655761719e+01,2.058166809082031250e+02,3.667776622847486578e+02,4.205786030738667023e+02
2.173251724243164062e+01,1.938438110351562500e+02,3.088299182360876216e+02,3.646249309533134237e+02
2.402014923095703125e+01,1.835505676269531250e+02,2.756139075776226832e+02,3.311402098057653802e+02
2.630778312683105469e+01,1.745700988769531250e+02,2.570642324847983105e+02,3.107358015629972670e+02
2.859541702270507812e+01,1.662277221679687500e+02,2.566443035138292998e+02,3.057743527114374160e+02
3.088304901123046875e+01,1.582069244384765625e+02,2.232324718439417097e+02,2.736095176089114602e+02
3.317068481445312500e+01,1.511241607666015625e+02,2.167566630066060895e+02,2.642384579816295513e+02
3.545831680297851562e+01,1.447998199462890625e+02,2.293700737877390168e+02,2.712519475149309187e+02
3.774594879150390625e+01,1.391941680908203125e+02,2.018336904422184830e+02,2.451771894416878013e+02
4.003358459472656250e+01,1.338788757324218750e+02,1.932810070774783355e+02,2.351193323213963993e+02
4.232121658325195312e+01,1.288335418701171875e+02,1.917796112014783319e+02,2.310357143470251344e+02
4.460884857177734375e+01,1.240595779418945312e+02,2.004419992264938060e+02,2.357281789493753763e+02
4.689648437500000000e+01,1.196265182495117188e+02,1.782963054299290206e+02,2.147092835352317479e+02
4.918411636352539062e+01,1.154225234985351562e+02,1.716468371780531470e+02,2.068453434047503379e+02
5.147174835205078125e+01,1.110582962036132812e+02,1.822196499684808941e+02,2.133962186804998282e+02
5.375938415527343750e+01,1.069166641235351562e+02,1.608417936796938079e+02,1.931353293565516651e+02
5.604701614379882812e+01,1.030292205810546875e+02,1.557104233485069926e+02,1.867103544187728517e+02
5.833464813232421875e+01,9.925095367431640625e+01,1.471417322723707173e+02,1.774864539316705816e+02
6.062228393554687500e+01,9.510498046875000000e+01,1.513748540851126165e+02,1.787716517810895311e+02
6.290991592407226562e+01,9.121636199951171875e+01,1.336124102751917633e+02,1.617797916435599461e+02
6.519755554199218750e+01,8.734797668457031250e+01,1.305264126650255605e+02,1.570567201634907519e+02
6.748518371582031250e+01,8.337053680419921875e+01,1.308316149486145434e+02,1.551372229815834487e+02
