R_kpc,V_baryon,V_kernel,V_total
1.763666719198226929e-01,1.738196754455566406e+01,1.413890215786674709e+01,2.240627894613808380e+01
5.291000008583068848e-01,3.010644912719726562e+01,2.448929521533224474e+01,3.880881130024760495e+01
8.818333148956298828e-01,3.886725997924804688e+01,3.161554559049912783e+01,5.010196267028484840e+01
1.234566688537597656e+00,4.754130935668945312e+01,3.548835794788621456e+01,5.932621322171105760e+01
1.587300062179565430e+00,5.551026916503906250e+01,3.763871170773649055e+01,6.706759658431353444e+01
1.940033316612243652e+00,6.127993774414062500e+01,3.806175912536763661e+01,7.213825767654866183e+01
2.292766571044921875e+00,6.652117919921875000e+01,3.597625195161180756e+01,7.562643775359481424e+01
2.645500183105468750e+00,7.048442840576171875e+01,3.432594692989559348e+01,7.839850330289480951e+01
2.998233318328857422e+00,7.392684936523437500e+01,3.420289035049625426e+01,8.145561311258310866e+01
3.350966453552246094e+00,7.651385498046875000e+01,3.449508908765078985e+01,8.393021677770447297e+01
3.703700065612792969e+00,7.859652709960937500e+01,3.421851834742555809e+01,8.572234866353755933e+01
4.056433200836181641e+00,7.989918518066406250e+01,3.295215537831455066e+01,8.642756751690448880e+01
4.409166336059570312e+00,8.060692596435546875e+01,3.030095109906934425e+01,8.611401860329240776e+01
4.761899948120117188e+00,8.152628326416015625e+01,2.896365070134434916e+01,8.651836643117017900e+01
5.114633560180664062e+00,8.209421539306640625e+01,2.813949031057584804e+01,8.678301029508305930e+01
5.467366695404052734e+00,8.178706359863281250e+01,3.099835256755743629e+01,8.746440074143791321e+01
5.820099830627441406e+00,8.289313507080078125e+01,2.651293553209127651e+01,8.702992429725007639e+01
6.172833442687988281e+00,8.277137756347656250e+01,2.540873787623437252e+01,8.658351479745978452e+01
6.525566577911376953e+00,8.129943084716796875e+01,2.442328469887801035e+01,8.488871828301125788e+01
6.878299713134765625e+00,8.033793640136718750e+01,2.233508414647484486e+01,8.338489111260722098e+01
7.231033325195312500e+00,8.032756805419921875e+01,2.173714061145167520e+01,8.321671315528072910e+01
7.583766937255859375e+00,7.984543609619140625e+01,2.476059373844293532e+01,8.359653377569831889e+01
7.936499595642089844e+00,7.942577362060546875e+01,2.013912655079099778e+01,8.193923377424287935e+01
8.289233207702636719e+00,7.833068084716796875e+01,1.908837704869176122e+01,8.062296161227440905e+01
8.641966819763183594e+00,7.766959381103515625e+01,2.017248469383775955e+01,8.024646444979285320e+01
8.994699478149414062e+00,7.747185516357421875e+01,1.781857787417703065e+01,7.949459038860355520e+01
9.347433090209960938e+00,7.595333099365234375e+01,2.019192452058501885e+01,7.859149131586225678e+01
9.700166702270507812e+00,7.488183593750000000e+01,1.603974697946054917e+01,7.658043505978771748e+01
1.005290031433105469e+01,7.383811187744140625e+01,1.515158052538998845e+01,7.537663621407250503e+01
1.040563297271728516e+01,7.222866821289062500e+01,1.982596190743048936e+01,7.490026191078963791e+01
