R_kpc,V_baryon,V_kernel,V_total
1.303866744041442871e+00,3.797143554687500000e+01,1.648453056994845554e+02,1.691620665728910069e+02
3.911600112915039062e+00,7.850704956054687500e+01,2.479465299973955723e+02,2.600785240486864041e+02
6.519333839416503906e+00,1.065469818115234375e+02,2.815208663776175513e+02,3.010087340454250011e+02
9.127067565917968750e+00,1.255805816650390625e+02,2.941565486862169223e+02,3.198414569077337433e+02
1.173480033874511719e+01,1.379956665039062500e+02,2.927906529301172895e+02,3.236806622749409712e+02
1.434253311157226562e+01,1.456195831298828125e+02,2.841711843527158408e+02,3.193091362871178944e+02
1.695026779174804688e+01,1.503234863281250000e+02,2.738893318825461165e+02,3.124300185796692517e+02
1.955800056457519531e+01,1.523894195556640625e+02,2.602549542701967766e+02,3.015877589996520669e+02
2.216573333740234375e+01,1.528774871826171875e+02,2.463258570784594781e+02,2.899102503466592680e+02
2.477346801757812500e+01,1.521136779785156250e+02,2.320352098250065751e+02,2.774507324031328608e+02
2.738120079040527344e+01,1.500291442871093750e+02,2.164325178858741197e+02,2.633472592206803711e+02
2.998893356323242188e+01,1.474148406982421875e+02,2.015657406165712473e+02,2.497196078723733024e+02
3.259666824340820312e+01,1.442491302490234375e+02,1.877459192818985230e+02,2.367622070918523036e+02
3.520439910888671875e+01,1.407339935302734375e+02,1.736177245061198278e+02,2.234931115343556201e+02
3.781213378906250000e+01,1.371071472167968750e+02,1.613121479102960620e+02,2.117072936959382048e+02
4.041986846923828125e+01,1.332824859619140625e+02,1.494851459121857147e+02,2.002748849744082520e+02
4.302760314941406250e+01,1.292038269042968750e+02,1.376976516851935060e+02,1.888233888740133750e+02
4.563533401489257812e+01,1.248540649414062500e+02,1.269529617795538456e+02,1.780606402717227752e+02
4.824306869506835938e+01,1.206508560180664062e+02,1.170552759214097307e+02,1.681028450898061521e+02
5.085079956054687500e+01,1.164756317138671875e+02,1.086735209266406628e+02,1.593000545912665586e+02
5.345853424072265625e+01,1.120977859497070312e+02,1.007054284822737458e+02,1.506900706360520417e+02
5.606626892089843750e+01,1.077700881958007812e+02,9.297843685736494024e+01,1.423354534963144715e+02
5.867400360107421875e+01,1.031709289550781250e+02,8.627526004470148280e+01,1.344903741170938360e+02
6.128173446655273438e+01,9.876078796386718750e+01,8.301137259538708690e+01,1.290138804142607967e+02
6.388946914672851562e+01,9.406864166259765625e+01,7.752422879094388009e+01,1.218971502099951181e+02
6.649720764160156250e+01,8.916027069091796875e+01,7.702655976970824270e+01,1.178246350339942126e+02
6.910493469238281250e+01,8.486627197265625000e+01,7.683197350551000682e+01,1.144789776877785101e+02
7.171266937255859375e+01,7.951161193847656250e+01,8.190891693524464756e+01,1.141541364336442115e+02
7.432040405273437500e+01,7.472462463378906250e+01,7.900066687097435647e+01,1.087422406303487321e+02
7.692813110351562500e+01,7.042145538330078125e+01,8.167671135939751537e+01,1.078437125234015923e+02
