R_kpc,V_baryon,V_kernel,V_total
1.184149980545043945e+00,5.487348556518554688e+01,3.695320108772716594e+02,3.735840018365807964e+02
3.552449941635131836e+00,1.117990417480468750e+02,5.232150064691218176e+02,5.350261380391692683e+02
5.920749664306640625e+00,1.476865386962890625e+02,5.637949478504064018e+02,5.828173450359619210e+02
8.289049148559570312e+00,1.685606231689453125e+02,5.580024293229737395e+02,5.829059913262946111e+02
1.065734958648681641e+01,1.795736694335937500e+02,5.309837238678278482e+02,5.605269111626538461e+02
1.302564907073974609e+01,1.842616577148437500e+02,4.938136131136699873e+02,5.270713840376627104e+02
1.539394855499267578e+01,1.847828826904296875e+02,4.542371291931621613e+02,4.903836094134830432e+02
1.776224899291992188e+01,1.830605621337890625e+02,4.159734821716833721e+02,4.544723378147297126e+02
2.013055038452148438e+01,1.798458099365234375e+02,3.799235099783925875e+02,4.203408010880002621e+02
2.249884796142578125e+01,1.753043975830078125e+02,3.454560127391472975e+02,3.873906137182532916e+02
2.486714935302734375e+01,1.704140472412109375e+02,3.130986233858303081e+02,3.564711702672840374e+02
2.723544692993164062e+01,1.652268066406250000e+02,2.840560992087332011e+02,3.286149204390781620e+02
2.960374832153320312e+01,1.595728454589843750e+02,2.567044038448680112e+02,3.022592316883788612e+02
3.197204780578613281e+01,1.540117645263671875e+02,2.314178143614475687e+02,2.779817041654079617e+02
3.434034729003906250e+01,1.489572296142578125e+02,2.112427296770480325e+02,2.584796833423961289e+02
3.670864868164062500e+01,1.437222595214843750e+02,1.899534900779399038e+02,2.381982709496754751e+02
3.907695007324218750e+01,1.384690551757812500e+02,1.714488524120449995e+02,2.203823692605812425e+02
4.144524765014648438e+01,1.334275970458984375e+02,1.569195248671119884e+02,2.059773315504528455e+02
4.381354522705078125e+01,1.284729919433593750e+02,1.409034856385281103e+02,1.906806304058225408e+02
4.618184661865234375e+01,1.238603286743164062e+02,1.292030888720990731e+02,1.789827338976207898e+02
4.855014801025390625e+01,1.192671051025390625e+02,1.199922379536228334e+02,1.691826815819037790e+02
5.091844940185546875e+01,1.147599639892578125e+02,1.082986226528400664e+02,1.577923993032530348e+02
5.328674697875976562e+01,1.104513168334960938e+02,1.019939850427833790e+02,1.503405006941576687e+02
5.565504455566406250e+01,1.060334243774414062e+02,9.891751830226087350e+01,1.450095250014309158e+02
5.802334594726562500e+01,1.017320632934570312e+02,9.560748367372102052e+01,1.396073207978662367e+02
6.039164733886718750e+01,9.754971313476562500e+01,9.602119670889705105e+01,1.368795693537614966e+02
6.275994873046875000e+01,9.310146331787109375e+01,9.990407819560469704e+01,1.365602711355447525e+02
6.512824249267578125e+01,8.903614044189453125e+01,9.039930559145220457e+01,1.268836811156108126e+02
6.749654388427734375e+01,8.445401000976562500e+01,8.800263091825078732e+01,1.219710745586945251e+02
6.986484527587890625e+01,8.020195007324218750e+01,9.340047811781386145e+01,1.231097166757359389e+02
