R_kpc,V_baryon,V_kernel,V_total
7.687166929244995117e-01,4.630667495727539062e+01,2.231991940874165152e+02,2.279521624085654139e+02
2.306149959564208984e+00,1.044019546508789062e+02,3.333081613972445325e+02,3.492765365848371744e+02
3.843583345413208008e+00,1.482273101806640625e+02,3.726555514868777550e+02,4.010529840201778029e+02
5.381016731262207031e+00,1.787342987060546875e+02,3.929657654365140615e+02,4.317036506955383288e+02
6.918450355529785156e+00,2.006207580566406250e+02,3.940522392815202579e+02,4.421830557391140815e+02
8.455883026123046875e+00,2.159343719482421875e+02,3.876115728024499845e+02,4.437007817371285796e+02
9.993316650390625000e+00,2.259347381591796875e+02,3.747871203097676016e+02,4.376207186166900556e+02
1.153075027465820312e+01,2.325900421142578125e+02,3.601230540171611665e+02,4.287035606813840900e+02
1.306818389892578125e+01,2.356200714111328125e+02,3.412800688262819335e+02,4.147154467635871811e+02
1.460561656951904297e+01,2.366137237548828125e+02,3.217082608842636660e+02,3.993523003673291214e+02
1.614304924011230469e+01,2.357835235595703125e+02,3.027283366537744769e+02,3.837164537870522736e+02
1.768048286437988281e+01,2.335140380859375000e+02,2.831749275736785307e+02,3.670379330448803898e+02
1.921791648864746094e+01,2.303631286621093750e+02,2.647065560882637669e+02,3.509084392132926951e+02
2.075535011291503906e+01,2.260066986083984375e+02,2.456653435895947553e+02,3.338120554814394723e+02
2.229278373718261719e+01,2.220859832763671875e+02,2.294316537952318242e+02,3.193134312191785966e+02
2.383021736145019531e+01,2.175050048828125000e+02,2.140285624215913742e+02,3.051502110658012157e+02
2.536765098571777344e+01,2.130520629882812500e+02,1.995331688718968337e+02,2.918983815774950585e+02
2.690508270263671875e+01,2.078199462890625000e+02,1.856706788382727495e+02,2.786803363829515092e+02
2.844251632690429688e+01,2.028483886718750000e+02,1.726784203054608042e+02,2.663931410325524212e+02
2.997994995117187500e+01,1.977015533447265625e+02,1.610178382162477533e+02,2.549757764329461622e+02
3.151738357543945312e+01,1.929048767089843750e+02,1.498253003924355653e+02,2.442537893389446424e+02
3.305481719970703125e+01,1.883514251708984375e+02,1.413978539809996562e+02,2.355198737324137142e+02
3.459224700927734375e+01,1.839121551513671875e+02,1.310348621531028073e+02,2.258181011056966838e+02
3.612968444824218750e+01,1.794651641845703125e+02,1.241528706172643979e+02,2.182239248484390828e+02
3.766711425781250000e+01,1.748985290527343750e+02,1.151779156767552621e+02,2.094169247061749388e+02
3.920455169677734375e+01,1.704481658935546875e+02,1.093152656646966108e+02,2.024905070178431856e+02
4.074198150634765625e+01,1.661693267822265625e+02,1.035629902519690972e+02,1.957997421951301931e+02
4.227941894531250000e+01,1.621709899902343750e+02,9.559851789465736260e+01,1.882511787775979144e+02
4.381684875488281250e+01,1.582436218261718750e+02,9.251833668576094283e+01,1.833048978937819413e+02
4.535428619384765625e+01,1.543860778808593750e+02,8.579170162365717545e+01,1.766218463677628563e+02
