R_kpc,V_baryon,V_kernel,V_total
4.271666705608367920e-02,9.068670272827148438e+00,1.314994413405656815e-03,9.068670272827148438e+00
1.281500011682510376e-01,1.570739746093750000e+01,2.277637133374810219e-03,1.570739746093750000e+01
2.135833352804183960e-01,2.027816200256347656e+01,2.940416801720857620e-03,2.027816200256347656e+01
2.990166544914245605e-01,2.399344635009765625e+01,3.479148261249065399e-03,2.399344635009765625e+01
3.844499886035919189e-01,2.720601081848144531e+01,3.944983240216970444e-03,2.720601081848144531e+01
4.698833227157592773e-01,3.007737541198730469e+01,4.361343104392290115e-03,3.007737541198730469e+01
5.553166866302490234e-01,3.269755554199218750e+01,4.741279873996973038e-03,3.269755554199218750e+01
6.407499909400939941e-01,3.512281036376953125e+01,5.092951469123363495e-03,3.512281036376953125e+01
7.261832952499389648e-01,3.739108276367187500e+01,5.421860609203577042e-03,3.739108276367187500e+01
8.116166591644287109e-01,3.921496582031250000e+01,5.665629636496305466e-03,3.921496582031250000e+01
8.970499634742736816e-01,4.088854217529296875e+01,5.884123966097831726e-03,4.088854217529296875e+01
9.824833273887634277e-01,4.242780303955078125e+01,6.079459562897682190e-03,4.242780303955078125e+01
1.067916631698608398e+00,4.384502792358398438e+01,6.253144238144159317e-03,4.384502792358398438e+01
1.153349876403808594e+00,4.514975738525390625e+01,6.406220607459545135e-03,4.514975738525390625e+01
1.238783359527587891e+00,4.634944152832031250e+01,6.539340130984783173e-03,4.634944152832031250e+01
1.324216604232788086e+00,4.744988250732421875e+01,6.652812939137220383e-03,4.744988250732421875e+01
1.409649968147277832e+00,4.845554351806640625e+01,6.746630650013685226e-03,4.845554351806640625e+01
1.495083332061767578e+00,4.936975097656250000e+01,6.820457521826028824e-03,4.936975097656250000e+01
1.580516576766967773e+00,5.019485855102539062e+01,6.873609032481908798e-03,5.019485855102539062e+01
1.665949940681457520e+00,5.036321640014648438e+01,6.762532517313957214e-03,5.036321640014648438e+01
1.751383304595947266e+00,5.034836578369140625e+01,6.586365867406129837e-03,5.034836578369140625e+01
1.836816549301147461e+00,5.013043975830078125e+01,6.322008091956377029e-03,5.013043975830078125e+01
1.922250032424926758e+00,4.968140029907226562e+01,5.924527067691087723e-03,4.968140029907226562e+01
2.007683277130126953e+00,4.896099090576171875e+01,5.283845122903585434e-03,4.896099090576171875e+01
2.093116760253906250e+00,4.790940093994140625e+01,3.909775521606206894e-03,4.790940093994140625e+01
2.178549766540527344e+00,4.765580368041992188e+01,4.180361051112413406e-03,4.765580368041992188e+01
2.263983249664306641e+00,4.723210144042968750e+01,4.433181602507829666e-03,4.723210144042968750e+01
2.349416732788085938e+00,4.661162948608398438e+01,4.672668874263763428e-03,4.661162948608398438e+01
2.434849739074707031e+00,4.575675964355468750e+01,4.901716951280832291e-03,4.575675964355468750e+01
2.520283222198486328e+00,4.461215972900390625e+01,5.122323986142873764e-03,4.461215972900390625e+01
