R_kpc,V_baryon,V_kernel,V_total
1.327516674995422363e+00,6.310956573486328125e+01,3.910614484450917416e+02,3.961210343351961569e+02
3.982550144195556641e+00,1.277912063598632812e+02,5.676414549430899115e+02,5.818482741603222621e+02
6.637583732604980469e+00,1.689778137207031250e+02,6.151990211967740834e+02,6.379838067181594852e+02
9.292616844177246094e+00,1.932032470703125000e+02,6.115531614952218433e+02,6.413460574670673395e+02
1.194765090942382812e+01,2.072710876464843750e+02,5.928957462773076941e+02,6.280817388216486279e+02
1.460268402099609375e+01,2.135575103759765625e+02,5.581749103906246319e+02,5.976336998390668214e+02
1.725771713256835938e+01,2.146843414306640625e+02,5.164478952111782064e+02,5.592922274227991011e+02
1.991275024414062500e+01,2.134783020019531250e+02,4.779608220256122877e+02,5.234687495604671312e+02
2.256778335571289062e+01,2.101407775878906250e+02,4.397314797424868971e+02,4.873632308738187362e+02
2.522281837463378906e+01,2.051211090087890625e+02,4.018051610978003509e+02,4.511341878572042674e+02
2.787785148620605469e+01,1.994110412597656250e+02,3.663311309515644894e+02,4.170890303316575114e+02
3.053288459777832031e+01,1.930912475585937500e+02,3.337905853281425834e+02,3.856168893117286984e+02
3.318791961669921875e+01,1.868681488037109375e+02,3.038994592143080808e+02,3.567556368661172428e+02
3.584294891357421875e+01,1.805112152099609375e+02,2.766654424605935674e+02,3.303453736319626728e+02
3.849798583984375000e+01,1.737922821044921875e+02,2.507993969163983934e+02,3.051296368859130439e+02
4.115301513671875000e+01,1.675387268066406250e+02,2.283644998068415930e+02,2.832305940067279266e+02
4.380805206298828125e+01,1.612672424316406250e+02,2.081666721085033487e+02,2.633258179966487091e+02
4.646308898925781250e+01,1.549848327636718750e+02,1.890473096744773898e+02,2.444569167016608446e+02
4.911811828613281250e+01,1.489795379638671875e+02,1.721785947997015569e+02,2.276848059290514357e+02
5.177315521240234375e+01,1.429220581054687500e+02,1.593217934391720121e+02,2.140330551770548198e+02
5.442818450927734375e+01,1.369671020507812500e+02,1.475137135814608484e+02,2.012965027582900461e+02
5.708322143554687500e+01,1.311887817382812500e+02,1.356086400429757646e+02,1.886801509116827162e+02
5.973825073242187500e+01,1.250839385986328125e+02,1.263830078676509459e+02,1.778163543901747516e+02
6.239328765869140625e+01,1.191334686279296875e+02,1.212751455609947726e+02,1.700013062713503587e+02
6.504832458496093750e+01,1.133185119628906250e+02,1.152766389619962268e+02,1.616471108659598883e+02
6.770335388183593750e+01,1.070941238403320312e+02,1.305716307616667962e+02,1.688730355235807110e+02
7.035838317871093750e+01,1.008609695434570312e+02,1.360464899758935928e+02,1.693563786269531590e+02
7.301342010498046875e+01,9.508889007568359375e+01,1.426911737478667135e+02,1.714720633994977845e+02
7.566845703125000000e+01,8.839269256591796875e+01,1.419995829292941778e+02,1.672637127965888055e+02
7.832348632812500000e+01,8.349261474609375000e+01,1.349325498350679027e+02,1.586751701009190185e+02
