R_kpc,V_baryon,V_kernel,V_total
1.354833245277404785e-01,7.474270820617675781e+00,1.795191630544308126e+01,1.944571989521600486e+01
4.064499735832214355e-01,1.294581699371337891e+01,3.109363153902489429e+01,3.368097533520573705e+01
6.774166822433471680e-01,1.671297836303710938e+01,4.014170749027660179e+01,4.348195394817192749e+01
9.483833312988281250e-01,2.015790939331054688e+01,4.586745535953190256e+01,5.010154458449760995e+01
1.219349980354309082e+00,2.326761436462402344e+01,4.994104682805418349e+01,5.509528160609179537e+01
1.490316629409790039e+00,2.615450859069824219e+01,5.260047981647992543e+01,5.874409609938080479e+01
1.761283397674560547e+00,2.829466056823730469e+01,5.206629098398627775e+01,5.925779684074471731e+01
2.032249927520751953e+00,3.024258232116699219e+01,4.805618881935958342e+01,5.678037560084637647e+01
2.303216457366943359e+00,3.189811134338378906e+01,4.842694243275662558e+01,5.798843208208555211e+01
2.574183464050292969e+00,3.339866256713867188e+01,4.771398448107510859e+01,5.824169484300123401e+01
2.845149993896484375e+00,3.447148132324218750e+01,4.665585938298542601e+01,5.800907080637989566e+01
3.116116523742675781e+00,3.559979248046875000e+01,4.796089818710750308e+01,5.972933089996774214e+01
3.387083292007446289e+00,3.659849929809570312e+01,4.904791261876193431e+01,6.119761374081677729e+01
3.658050060272216797e+00,3.747338104248046875e+01,4.991826291175748054e+01,6.241864500762797263e+01
3.929016590118408203e+00,3.791286849975585938e+01,4.486298523124920479e+01,5.873732258093205871e+01
4.199983119964599609e+00,3.751755142211914062e+01,4.124606099427486328e+01,5.575665160260314224e+01
4.470950126647949219e+00,3.782363128662109375e+01,4.163707740096099741e+01,5.625187365491863289e+01
4.741916656494140625e+00,3.824500656127929688e+01,3.941249708981111866e+01,5.491835275066576116e+01
5.012883186340332031e+00,3.809201431274414062e+01,3.784677025798404060e+01,5.369710984657077546e+01
5.283849716186523438e+00,3.835302734375000000e+01,4.087820374079819175e+01,5.605338752464715668e+01
5.554816722869873047e+00,3.850146102905273438e+01,4.371774262991352344e+01,5.825464418811159106e+01
5.825783252716064453e+00,3.865446090698242188e+01,3.574132766663576888e+01,5.264608116253536707e+01
6.096749782562255859e+00,3.822485351562500000e+01,3.382423837062214034e+01,5.104134114273978895e+01
6.367716789245605469e+00,3.783452606201171875e+01,3.225934995877201317e+01,4.972038893430087825e+01
6.638683319091796875e+00,3.781942367553710938e+01,3.343361674443797682e+01,5.047886257142278765e+01
6.909649848937988281e+00,3.712585067749023438e+01,2.955832430379742348e+01,4.745548725911497456e+01
7.180616378784179688e+00,3.731877899169921875e+01,2.926767595383916287e+01,4.742666064481688437e+01
7.451582908630371094e+00,3.679367446899414062e+01,3.428126129549363554e+01,5.028895914753776708e+01
7.722549915313720703e+00,3.653897476196289062e+01,2.714776328904254754e+01,4.552030021084424050e+01
7.993516445159912109e+00,3.639151000976562500e+01,2.613835058704957603e+01,4.480575200158055083e+01
