R_kpc,V_baryon,V_kernel,V_total
6.365333795547485352e-01,2.562312889099121094e+01,1.593896853877111823e+02,1.614361067009579642e+02
1.909600138664245605e+00,5.512156295776367188e+01,2.554820499381555408e+02,2.613607938451216910e+02
3.182666778564453125e+00,8.234434509277343750e+01,2.914262031430238267e+02,3.028362976707923053e+02
4.455733299255371094e+00,1.032638473510742188e+02,3.151710555436666823e+02,3.316567745840706039e+02
5.728800296783447266e+00,1.192765579223632812e+02,3.346320150044716684e+02,3.552541103588957299e+02
7.001866817474365234e+00,1.323860321044921875e+02,3.413082629191474666e+02,3.660838577208244828e+02
8.274932861328125000e+00,1.425972595214843750e+02,3.408561232437609192e+02,3.694819011377836659e+02
9.548000335693359375e+00,1.503679809570312500e+02,3.365969781173038768e+02,3.686570967370298035e+02
1.082106781005859375e+01,1.566199798583984375e+02,3.325137216055185831e+02,3.675529804195952011e+02
1.209413337707519531e+01,1.615895690917968750e+02,3.281429791007598169e+02,3.657717924966968894e+02
1.336720085144042969e+01,1.647785491943359375e+02,3.188501420022486172e+02,3.589113870553275092e+02
1.464026641845703125e+01,1.667110748291015625e+02,3.079968657002427221e+02,3.502208607613534923e+02
1.591333389282226562e+01,1.678244934082031250e+02,2.977884700866830485e+02,3.418231025888131853e+02
1.718640136718750000e+01,1.682708435058593750e+02,2.865874859008761177e+02,3.323363706350237408e+02
1.845946693420410156e+01,1.681300201416015625e+02,2.756560958572606523e+02,3.228838588537173564e+02
1.973253440856933594e+01,1.677826690673828125e+02,2.657611504305163521e+02,3.142928769725008351e+02
2.100559997558593750e+01,1.669353790283203125e+02,2.557708850076403735e+02,3.054278401512648884e+02
2.227866744995117188e+01,1.653888092041015625e+02,2.447956168033925906e+02,2.954290997693497616e+02
2.355173492431640625e+01,1.635831451416015625e+02,2.344994869845766914e+02,2.859186155333885608e+02
2.482480049133300781e+01,1.619853515625000000e+02,2.241662907357105325e+02,2.765678575114199589e+02
2.609786796569824219e+01,1.599947509765625000e+02,2.153422687829068138e+02,2.682733923389900497e+02
2.737093353271484375e+01,1.575925445556640625e+02,2.052838418221937786e+02,2.587988907811033528e+02
2.864400100708007812e+01,1.554952239990234375e+02,1.967154145782749310e+02,2.507503139732881436e+02
2.991706848144531250e+01,1.531906585693359375e+02,1.882248799158817860e+02,2.426849446761646902e+02
3.119013404846191406e+01,1.506675262451171875e+02,1.800469329159770382e+02,2.347713806609534970e+02
3.246320343017578125e+01,1.483599395751953125e+02,1.717908168844418242e+02,2.269862476909643476e+02
3.373626708984375000e+01,1.459262695312500000e+02,1.652926913012844921e+02,2.204907035684763912e+02
3.500933456420898438e+01,1.433288116455078125e+02,1.575654685522297598e+02,2.130024068351897881e+02
3.628240203857421875e+01,1.408030853271484375e+02,1.508006128499665977e+02,2.063161035924014186e+02
3.755546569824218750e+01,1.384713439941406250e+02,1.442643371523481903e+02,1.999662758417188400e+02
