R_kpc,V_baryon,V_kernel,V_total
2.000166624784469604e-01,8.780547142028808594e+00,1.600929169998899582e+01,1.825911903508723455e+01
6.000499725341796875e-01,1.520835304260253906e+01,2.772890644008064598e+01,3.162572147335776052e+01
1.000083327293395996e+00,2.100653076171875000e+01,3.445807209019461226e+01,4.035632608009324684e+01
1.400116682052612305e+00,2.621185684204101562e+01,3.897606338757975664e+01,4.697014987835336797e+01
1.800149917602539062e+00,3.032674598693847656e+01,4.171351067960900139e+01,5.157255589040954646e+01
2.200183391571044922e+00,3.415883255004882812e+01,4.277187487475359973e+01,5.473809538123920504e+01
2.600216627120971680e+00,3.779904937744140625e+01,4.349150943905961952e+01,5.762186721865558070e+01
3.000249862670898438e+00,4.093714523315429688e+01,4.514196761731908936e+01,6.093970047414666169e+01
3.400283336639404297e+00,4.367735290527343750e+01,4.561340966627660265e+01,6.315294389831879585e+01
3.800316572189331055e+00,4.602184677124023438e+01,4.553624740058986475e+01,6.474226073728505071e+01
4.200349807739257812e+00,4.792764282226562500e+01,4.494569469338062362e+01,6.570520762741114140e+01
4.600383281707763672e+00,4.970346450805664062e+01,4.493076572370578248e+01,6.700155247970310768e+01
5.000416755676269531e+00,5.110659790039062500e+01,4.448764890083623413e+01,6.775717808518759000e+01
5.400449752807617188e+00,5.228461837768554688e+01,4.529936613785991995e+01,6.917885492674957959e+01
5.800483226776123047e+00,5.377639007568359375e+01,4.438476017149130115e+01,6.972737684701164085e+01
6.200516700744628906e+00,5.455013275146484375e+01,4.340459004062582693e+01,6.971137265619161383e+01
6.600549697875976562e+00,5.520512771606445312e+01,4.243512321466058523e+01,6.963006450819430881e+01
7.000583171844482422e+00,5.560344314575195312e+01,4.130083833719766773e+01,6.926400340203569783e+01
7.400616645812988281e+00,5.600451278686523438e+01,4.121656907705717288e+01,6.953640009072640282e+01
7.800649642944335938e+00,5.641477584838867188e+01,3.963335334150291089e+01,6.894512056859005611e+01
8.200683593750000000e+00,5.643437576293945312e+01,3.834464118093947604e+01,6.822866241164705059e+01
8.600716590881347656e+00,5.677903747558593750e+01,3.778815923388864917e+01,6.820413557215645994e+01
9.000749588012695312e+00,5.664696121215820312e+01,3.651860170777465697e+01,6.739797062611906142e+01
9.400783538818359375e+00,5.678323745727539062e+01,3.682290094741017583e+01,6.767763272812355524e+01
9.800816535949707031e+00,5.687075424194335938e+01,3.504543307188260570e+01,6.680168481437839034e+01
1.020084953308105469e+01,5.677510070800781250e+01,3.409798722541909655e+01,6.622752329809596006e+01
1.060088348388671875e+01,5.624103164672851562e+01,3.283626879981404301e+01,6.512506629271973679e+01
1.100091648101806641e+01,5.598590469360351562e+01,3.172374160055231584e+01,6.434918346022728031e+01
1.140094947814941406e+01,5.552247619628906250e+01,3.119430048300143454e+01,6.368539663024725428e+01
1.180098342895507812e+01,5.539056777954101562e+01,2.984378743994406236e+01,6.291873043057161397e+01
