R_kpc,V_baryon,V_kernel,V_total
2.475000023841857910e-01,3.701083660125732422e+00,2.003931901092007806e+01,2.037823167997672869e+01
7.425000071525573730e-01,6.410464763641357422e+00,3.470911982115691075e+01,3.529613375073686399e+01
1.237499952316284180e+00,9.190714836120605469e+00,4.372778391182635005e+01,4.468319957344851190e+01
1.732500076293945312e+00,1.170567703247070312e+01,5.035709289500443475e+01,5.169970674733959015e+01
2.227499961853027344e+00,1.429381275177001953e+01,5.285861555764883946e+01,5.475715769198854588e+01
2.722499847412109375e+00,1.676014137268066406e+01,5.613403868797080776e+01,5.858269917964350526e+01
3.217499971389770508e+00,1.876475334167480469e+01,5.980379081104608474e+01,6.267861965748954844e+01
3.712500095367431641e+00,2.069462394714355469e+01,6.284317043248705659e+01,6.616291654742332184e+01
4.207499980926513672e+00,2.257497787475585938e+01,6.391572006624986813e+01,6.778531485697394032e+01
4.702499866485595703e+00,2.410807800292968750e+01,6.590254481795804509e+01,7.017367608539855439e+01
5.197500228881835938e+00,2.556713485717773438e+01,6.756821943901290695e+01,7.224363421036015609e+01
5.692500114440917969e+00,2.692261886596679688e+01,6.903592066964435503e+01,7.409983627028843500e+01
6.187500000000000000e+00,2.816420555114746094e+01,6.960266748497140554e+01,7.508497715367586522e+01
6.682499885559082031e+00,2.930256652832031250e+01,7.053542925940202224e+01,7.637988715406355311e+01
7.177499771118164062e+00,3.034366226196289062e+01,7.081569048149586365e+01,7.704284439436884213e+01
7.672500133514404297e+00,3.127781295776367188e+01,7.090953864300045950e+01,7.750138221522378501e+01
8.167499542236328125e+00,3.213313674926757812e+01,7.082465138232555546e+01,7.777319393966268990e+01
8.662500381469726562e+00,3.296282196044921875e+01,7.139694803341737384e+01,7.863886949790399683e+01
9.157499313354492188e+00,3.365273284912109375e+01,7.106581148880391652e+01,7.863113907536109082e+01
9.652500152587890625e+00,3.435406494140625000e+01,7.147126757322396884e+01,7.929907862484871828e+01
1.014750003814697266e+01,3.500189208984375000e+01,7.150108423039105787e+01,7.960865212029744953e+01
1.064249992370605469e+01,3.550999069213867188e+01,7.090977445618018749e+01,7.930419652252075480e+01
1.113750076293945312e+01,3.600102996826171875e+01,7.059676810626865517e+01,7.924631149649977147e+01
1.163249969482421875e+01,3.645678329467773438e+01,7.030305456487540994e+01,7.919353841728684529e+01
1.212750053405761719e+01,3.680107116699218750e+01,6.949186271063609865e+01,7.863483853006977142e+01
1.262249946594238281e+01,3.716819000244140625e+01,6.905391376366040390e+01,7.842140888375713814e+01
1.311750030517578125e+01,3.754578781127929688e+01,6.881964707966852757e+01,7.839534413086462905e+01
1.361249923706054688e+01,3.781892013549804688e+01,6.824920951387736068e+01,7.802708088364099126e+01
1.410750007629394531e+01,3.803225708007812500e+01,6.740879876146142635e+01,7.739766654868836326e+01
1.460249996185302734e+01,3.827335357666015625e+01,6.689876227384542062e+01,7.707330279122261629e+01
