R_kpc,V_baryon,V_kernel,V_total
9.227166771888732910e-01,4.976208114624023438e+01,2.414850114691314786e+02,2.465588680471340410e+02
2.768150091171264648e+00,1.024970397949218750e+02,3.506318082561541019e+02,3.653057739971651472e+02
4.613583564758300781e+00,1.392850952148437500e+02,3.948950399044904884e+02,4.187390958959936142e+02
6.459016799926757812e+00,1.643881378173828125e+02,4.085570083575253761e+02,4.403887919355192366e+02
8.304450035095214844e+00,1.805295715332031250e+02,4.026291885916042474e+02,4.412495770957561376e+02
1.014988327026367188e+01,1.898788909912109375e+02,3.846059019742015721e+02,4.289238767204375904e+02
1.199531745910644531e+01,1.949148101806640625e+02,3.640664050993738670e+02,4.129602068943585209e+02
1.384074974060058594e+01,1.972962493896484375e+02,3.437606175003172098e+02,3.963548545658919693e+02
1.568618392944335938e+01,1.973814086914062500e+02,3.223298941940824420e+02,3.779629380854270835e+02
1.753161621093750000e+01,1.961394653320312500e+02,3.016270926098457039e+02,3.597910426935590635e+02
1.937705039978027344e+01,1.937364044189453125e+02,2.815074504173065861e+02,3.417312359284739500e+02
2.122248458862304688e+01,1.899670867919921875e+02,2.606798093635715645e+02,3.225545770832093240e+02
2.306791687011718750e+01,1.858598022460937500e+02,2.414810896461389405e+02,3.047244391974273299e+02
2.491335105895996094e+01,1.812991027832031250e+02,2.234645799388673595e+02,2.877599377406529015e+02
2.675878524780273438e+01,1.765351562500000000e+02,2.061388915080844129e+02,2.713998981237037924e+02
2.860421752929687500e+01,1.722123718261718750e+02,1.917783365690356732e+02,2.577518805744903716e+02
3.044964981079101562e+01,1.678241882324218750e+02,1.775173018102454705e+02,2.442894828402663450e+02
3.229508209228515625e+01,1.632088165283203125e+02,1.650273152530070604e+02,2.321015552880147652e+02
3.414051818847656250e+01,1.587926788330078125e+02,1.532086349810464867e+02,2.206535770549178039e+02
3.598595428466796875e+01,1.543561859130859375e+02,1.415800690004718945e+02,2.094534506028210217e+02
3.783138275146484375e+01,1.499101867675781250e+02,1.319207287809078082e+02,1.996901177705367445e+02
3.967681884765625000e+01,1.455707550048828125e+02,1.221055274719744688e+02,1.900015883860161523e+02
4.152225112915039062e+01,1.415557250976562500e+02,1.128930319205335593e+02,1.810603769291078606e+02
4.336768341064453125e+01,1.377191162109375000e+02,1.063288100939682010e+02,1.739895702147090049e+02
4.521311950683593750e+01,1.337544708251953125e+02,9.935467148457733799e+01,1.666181519472241916e+02
4.705855178833007812e+01,1.298329925537109375e+02,9.401998038440088123e+01,1.603008489691590057e+02
4.890398406982421875e+01,1.260652999877929688e+02,8.795190838462080762e+01,1.537140141608247461e+02
5.074942016601562500e+01,1.223396530151367188e+02,8.324263039706353595e+01,1.479740712077528997e+02
5.259485244750976562e+01,1.188571319580078125e+02,7.801010278584254820e+01,1.421710016662424891e+02
5.444028472900390625e+01,1.151984405517578125e+02,7.458920640050011741e+01,1.372378605761504389e+02
