R_kpc,V_baryon,V_kernel,V_total
2.163333296775817871e-01,1.483408641815185547e+01,5.018723853969085269e+01,5.233363199092817553e+01
6.489999890327453613e-01,2.569338989257812500e+01,8.692684246273563531e+01,9.064450457195927413e+01
1.081666707992553711e+00,3.422462081909179688e+01,1.064022873535994904e+02,1.117710671914212668e+02
1.514333248138427734e+00,4.163719940185546875e+01,1.176493085603053856e+02,1.247999045544036392e+02
1.947000026702880859e+00,4.693626022338867188e+01,1.054822306067702300e+02,1.154535119645640293e+02
2.379666805267333984e+00,5.106021881103515625e+01,1.031902575435842948e+02,1.151319905499987755e+02
2.812333345413208008e+00,5.458723449707031250e+01,1.047195386957412069e+02,1.180929629483911754e+02
3.244999885559082031e+00,5.730585479736328125e+01,1.072232334370823708e+02,1.215762424415356691e+02
3.677666664123535156e+00,5.948449325561523438e+01,1.075711870683097402e+02,1.229225988847541515e+02
4.110333442687988281e+00,5.949370193481445312e+01,9.280366705105899428e+01,1.102362059688424836e+02
4.543000221252441406e+00,6.066404724121093750e+01,9.157067028661063546e+01,1.098422248760627156e+02
4.975666999816894531e+00,6.103817749023437500e+01,8.610405683944607347e+01,1.055441508748734947e+02
5.408333301544189453e+00,6.120452499389648438e+01,9.687265427467065138e+01,1.145875431393144197e+02
5.841000080108642578e+00,6.178055572509765625e+01,8.014648580720222526e+01,1.011943493750871141e+02
6.273666858673095703e+00,6.075082778930664062e+01,7.370461071182387514e+01,9.551456813554152347e+01
6.706333160400390625e+00,6.155636978149414062e+01,7.654977392710789275e+01,9.822960172916029364e+01
7.138999938964843750e+00,6.082087326049804688e+01,6.856940750908299265e+01,9.165665473430821919e+01
7.571666717529296875e+00,5.971963119506835938e+01,7.254669835012836643e+01,9.396519444813804967e+01
8.004333496093750000e+00,5.936104583740234375e+01,6.108880352429674332e+01,8.517966634478122501e+01
8.437000274658203125e+00,5.777675247192382812e+01,6.266874996773899653e+01,8.523805076778130285e+01
8.869667053222656250e+00,5.756566238403320312e+01,5.407822378516272011e+01,7.898265447349825763e+01
9.302333831787109375e+00,5.636436462402343750e+01,6.281558265868005009e+01,8.439632145502605454e+01
9.735000610351562500e+00,5.548923492431640625e+01,4.789112495300788908e+01,7.329812429418548447e+01
1.016766643524169922e+01,5.486140823364257812e+01,4.529522561725554652e+01,7.114373924415245654e+01
1.060033321380615234e+01,5.367782211303710938e+01,5.294585920173133786e+01,7.539610467629981372e+01
1.103299999237060547e+01,5.297892761230468750e+01,4.012962012187936267e+01,6.646166757484699872e+01
1.146566677093505859e+01,5.207026672363281250e+01,5.361132987504591085e+01,7.473611867839817080e+01
1.189833354949951172e+01,5.105562210083007812e+01,3.544699671526814200e+01,6.215437305454947392e+01
1.233100032806396484e+01,5.010519409179687500e+01,5.596438813126952994e+01,7.511686399528076663e+01
1.276366710662841797e+01,4.966166305541992188e+01,3.197931452222320914e+01,5.906739641316541167e+01
