R_kpc,V_baryon,V_kernel,V_total
1.182499974966049194e-01,5.916177272796630859e+00,1.391142282494914895e+01,1.511717027267637725e+01
3.547499775886535645e-01,1.024711990356445312e+01,2.409529109979887451e+01,2.618370708912632239e+01
5.912499427795410156e-01,1.322897434234619141e+01,3.110688297636883348e+01,3.380301667496217277e+01
8.277499675750732422e-01,1.598824214935302734e+01,3.594716475398401201e+01,3.934237588095651716e+01
1.064249992370605469e+00,1.848684883117675781e+01,3.971093839219892629e+01,4.380322143759844522e+01
1.300750017166137695e+00,2.081190681457519531e+01,4.264201883697974438e+01,4.744973380349601655e+01
1.537249922752380371e+00,2.301062774658203125e+01,4.485342791939664409e+01,5.041149680174538616e+01
1.773749947547912598e+00,2.480533981323242188e+01,4.440390531448627343e+01,5.086267470142846037e+01
2.010250091552734375e+00,2.649995422363281250e+01,4.184320720199882970e+01,4.952879513518531951e+01
2.246749877929687500e+00,2.792818450927734375e+01,4.218632424500202660e+01,5.059317555537606381e+01
2.483250141143798828e+00,2.926872062683105469e+01,4.182637244463597170e+01,5.105000932318166207e+01
2.719749927520751953e+00,3.048141860961914062e+01,4.260784950489644274e+01,5.238841209424200684e+01
2.956249713897705078e+00,3.162103843688964844e+01,4.309850859293547387e+01,5.345438727194360240e+01
3.192749977111816406e+00,3.241639328002929688e+01,4.346247155381278304e+01,5.422000501043513054e+01
3.429249763488769531e+00,3.311437988281250000e+01,4.352947232303227310e+01,5.469348310823416170e+01
3.665750026702880859e+00,3.394696807861328125e+01,4.292240122861367979e+01,5.472411839102947084e+01
3.902249813079833984e+00,3.471756362915039062e+01,4.176792410575765757e+01,5.431269361950200647e+01
4.138750076293945312e+00,3.518627166748046875e+01,4.113783364525841790e+01,5.413312375518066943e+01
4.375249862670898438e+00,3.556403350830078125e+01,4.005925807951533812e+01,5.356813133749010802e+01
4.611749649047851562e+00,3.587215805053710938e+01,3.948516735770818542e+01,5.334688565271968486e+01
4.848249912261962891e+00,3.605772399902343750e+01,3.812905936900153137e+01,5.247842025245203956e+01
5.084750175476074219e+00,3.598213577270507812e+01,3.668746494183439921e+01,5.138758794871046831e+01
5.321249961853027344e+00,3.630332565307617188e+01,3.833965413099782893e+01,5.280019389518294304e+01
5.557749748229980469e+00,3.656149673461914062e+01,3.995963286822694016e+01,5.416193590480006037e+01
5.794249534606933594e+00,3.673849868774414062e+01,3.535504779101204775e+01,5.098722084464886706e+01
6.030749797821044922e+00,3.643074035644531250e+01,3.374429800458793949e+01,4.965759257516920400e+01
6.267250061035156250e+00,3.614217758178710938e+01,3.238138694629171965e+01,4.852639671944831434e+01
6.503749847412109375e+00,3.631053161621093750e+01,3.288516750213283046e+01,4.898866147954438333e+01
6.740249633789062500e+00,3.650330734252929688e+01,3.154637389350592969e+01,4.824588232074316352e+01
6.976749897003173828e+00,3.622207260131835938e+01,3.052835700659548479e+01,4.737107931788020210e+01
