name,mafe,best_L,best_mu
UGC06930,0.1148365107141412,200.0,10.0
UGC06973,0.5520734745191659,10.0,10.0
UGC06983,0.1238852053245925,200.0,10.0
UGC07089,0.14302186524592023,200.0,10.0
UGC07125,0.17993373299427917,10.0,10.0
UGC07151,0.06657838838113846,200.0,10.0
UGC07232,0.731806622742158,50.0,10.0
UGC07261,0.08898858493783238,200.0,10.0
UGC07323,0.19465188376451015,200.0,10.0
UGC07399,0.10496042196480901,10.0,200.0
UGC07524,0.1056016636066481,10.0,200.0
UGC07559,0.5716147623072003,10.0,10.0
UGC07577,0.12465325161637429,200.0,10.0
UGC07603,0.2118122434733529,200.0,10.0
UGC07608,0.18974094164282634,200.0,10.0
UGC07690,0.4365182454776616,50.0,10.0
UGC07866,0.3537646921217202,30.0,10.0
UGC08286,0.2148255320914489,200.0,10.0
UGC08490,1.4950980880248723,200.0,10.0
UGC08550,0.8982580769214714,200.0,10.0
UGC08699,0.6210304539857974,200.0,10.0
UGC08837,0.2106522991910219,10.0,500.0
UGC09037,0.12413095787138469,200.0,10.0
UGC09133,0.4693503831234388,10.0,50.0
UGC09992,0.17422026553521336,200.0,10.0
UGC10310,0.07274833996242556,30.0,500.0
UGC11455,0.5714581500836684,120.0,10.0
UGC11557,0.1580931518034715,200.0,10.0
UGC11820,0.3934988179687313,200.0,10.0
UGC11914,0.10336698675561516,200.0,10.0
UGC12506,0.1626491840213432,50.0,50.0
UGC12632,0.07678038135608883,200.0,10.0
UGC12732,0.23316019605150456,200.0,10.0
UGCA281,0.06027708248146721,120.0,10.0
UGCA442,0.1922800290352666,10.0,500.0
UGCA444,0.12144378697259406,200.0,10.0
