R_kpc,V_baryon,V_kernel,V_total
4.960999786853790283e-01,3.035729789733886719e+01,1.342157642808317917e+02,1.376060933725160851e+02
1.488299965858459473e+00,5.812360763549804688e+01,2.106077293181849939e+02,2.184810504559320066e+02
2.480499982833862305e+00,7.730516052246093750e+01,2.116042615320189952e+02,2.252830472741704000e+02
3.472699880599975586e+00,9.014252471923828125e+01,2.178593975410618668e+02,2.357719065148388893e+02
4.464900016784667969e+00,9.823084259033203125e+01,2.074023125578136160e+02,2.294886012037504486e+02
5.457099914550781250e+00,1.033956832885742188e+02,2.023350188986180456e+02,2.272226372192956205e+02
6.449299812316894531e+00,1.063907394409179688e+02,1.885606089421870024e+02,2.165042551601720220e+02
7.441499710083007812e+00,1.067664413452148438e+02,1.752352747795738139e+02,2.051986227274935572e+02
8.433699607849121094e+00,1.057847671508789062e+02,1.580480952110784187e+02,1.901831154231037715e+02
9.425899505615234375e+00,1.054414291381835938e+02,1.502289397195634422e+02,1.835391752746922975e+02
1.041810035705566406e+01,1.042301177978515625e+02,1.371876948962605240e+02,1.722915570280127326e+02
1.141029930114746094e+01,1.020431213378906250e+02,1.275237573672265086e+02,1.633251588738864939e+02
1.240250015258789062e+01,9.984197998046875000e+01,1.159683225349027680e+02,1.530263791965187181e+02
1.339469909667968750e+01,9.764803314208984375e+01,1.087796227226014025e+02,1.461784696579715046e+02
1.438689994812011719e+01,9.528352355957031250e+01,9.950821567534234191e+01,1.377709518810222562e+02
1.537909889221191406e+01,9.309103393554687500e+01,9.380856245437276186e+01,1.321589452872693471e+02
1.637129974365234375e+01,9.030936431884765625e+01,8.476372745223186200e+01,1.238574613884696305e+02
1.736349868774414062e+01,8.761703491210937500e+01,8.084969562332655357e+01,1.192200398896544584e+02
1.835569953918457031e+01,8.541343688964843750e+01,7.516109995185890114e+01,1.137745403159174487e+02
1.934790039062500000e+01,8.327861785888671875e+01,7.252355123663772929e+01,1.104309449790828239e+02
2.034009933471679688e+01,8.119316101074218750e+01,6.732692382898608230e+01,1.054762734557769903e+02
2.133229827880859375e+01,7.909866333007812500e+01,6.618217435782753455e+01,1.031342757551648504e+02
2.232449913024902344e+01,7.710599517822265625e+01,6.180228751748684601e+01,9.881729208519307406e+01
2.331669998168945312e+01,7.516751861572265625e+01,6.163289207178685558e+01,9.720477944448656160e+01
2.430889892578125000e+01,7.342950439453125000e+01,5.919135808658995757e+01,9.431600586315489920e+01
2.530109977722167969e+01,7.170850372314453125e+01,5.717729082815074548e+01,9.171342301673692532e+01
2.629330062866210938e+01,7.000006866455078125e+01,5.695680118679123183e+01,9.024459522351830287e+01
2.728549957275390625e+01,6.851473999023437500e+01,5.545042926416009976e+01,8.814204239084560299e+01
2.827769851684570312e+01,6.705982208251953125e+01,5.492286340668250233e+01,8.668068098509093033e+01
2.926989936828613281e+01,6.564521789550781250e+01,5.324672027205657798e+01,8.452518946044658321e+01
