R_kpc,V_baryon,V_kernel,V_total
8.081333637237548828e-01,4.929421615600585938e+01,2.415077307700571794e+02,2.464871268432426632e+02
2.424400091171264648e+00,9.401477050781250000e+01,3.323045209595217671e+02,3.453477551597624711e+02
4.040666580200195312e+00,1.219296951293945312e+02,3.614020111834955742e+02,3.814161300645437791e+02
5.656933784484863281e+00,1.385337219238281250e+02,3.544970146887912961e+02,3.806044209151282871e+02
7.273200511932373047e+00,1.469646606445312500e+02,3.319264454337923098e+02,3.630065791503472497e+02
8.889467239379882812e+00,1.493471679687500000e+02,3.000954736093600559e+02,3.352042205174349192e+02
1.050573348999023438e+01,1.504821014404296875e+02,2.753776456574303211e+02,3.138115852053254571e+02
1.212200069427490234e+01,1.485624542236328125e+02,2.500226080127835644e+02,2.908300315508854510e+02
1.373826789855957031e+01,1.453352661132812500e+02,2.248570392795189150e+02,2.677368632768022962e+02
1.535453414916992188e+01,1.420245056152343750e+02,2.021458738837901308e+02,2.470504306123370952e+02
1.697080230712890625e+01,1.370918579101562500e+02,1.807881949483839890e+02,2.268888476039972772e+02
1.858706665039062500e+01,1.329459686279296875e+02,1.609504953411089616e+02,2.087574976136745590e+02
2.020333480834960938e+01,1.286773986816406250e+02,1.476925810742515068e+02,1.958850978284191910e+02
2.181960105895996094e+01,1.242776184082031250e+02,1.343068660420200047e+02,1.829843190654368925e+02
2.343586730957031250e+01,1.204359664916992188e+02,1.183204353366628396e+02,1.688328987012969833e+02
2.505213546752929688e+01,1.161053771972656250e+02,1.114529557169826575e+02,1.609416674526106021e+02
2.666839981079101562e+01,1.125097427368164062e+02,9.776691792633302214e+01,1.490530530503378657e+02
2.828466796875000000e+01,1.088262252807617188e+02,9.582285535325846126e+01,1.450005760988175894e+02
2.990093612670898438e+01,1.048179397583007812e+02,8.923714519773054121e+01,1.376592491055026812e+02
3.151720237731933594e+01,1.016004791259765625e+02,7.796496192195401420e+01,1.280671406491698008e+02
3.313346862792968750e+01,9.864091491699218750e+01,8.176000071238995304e+01,1.281199749841042888e+02
3.474973297119140625e+01,9.561862945556640625e+01,7.829522864030796825e+01,1.235842413208014960e+02
3.636600112915039062e+01,9.279553222656250000e+01,6.531532171908783369e+01,1.134773192909289889e+02
3.798226928710937500e+01,8.998462677001953125e+01,7.336688815579370271e+01,1.161031144621925790e+02
3.959853363037109375e+01,8.752284240722656250e+01,6.227523093666696496e+01,1.074171887320190564e+02
4.121480178833007812e+01,8.511943054199218750e+01,7.027893293393059082e+01,1.103831771473552692e+02
4.283106994628906250e+01,8.277551269531250000e+01,6.863103462228353635e+01,1.075267620541804092e+02
4.444733428955078125e+01,8.065831756591796875e+01,5.676980163858691242e+01,9.863353657981019751e+01
4.606360244750976562e+01,7.843703460693359375e+01,6.444375499111833960e+01,1.015153472210866852e+02
4.767987060546875000e+01,7.637418365478515625e+01,5.503459575216180610e+01,9.413725533966409387e+01
