Galaxy,Regime,V200_kms,C200,rs_kpc,sigma_baseline,n_inner_points,inner_region_defined,delta_sigma_mass_p10,delta_sigma_mass_p20,delta_sigma_mass_m10,delta_sigma_mass_m20,delta_sigma_c_p10,delta_sigma_c_p20,delta_sigma_c_m10,delta_sigma_c_m20,delta_sigma_both_p10,delta_sigma_both_p20,delta_sigma_both_m10,delta_sigma_both_m20,max_abs_delta_sigma,V_bar_over_V_NFW_inner_median
NGC3521,baryon-dom,205.060000,5.970000,47.020000,0.122433,37,True,0.007019,0.015225,-0.005848,-0.010579,-0.001316,-0.002412,0.001613,0.003640,0.005303,0.011248,-0.004655,-0.008669,0.015225,3.109374
NGC3726,baryon-dom,139.040000,5.690000,33.490000,0.134397,8,True,0.017483,0.036891,-0.015237,-0.027997,-0.003436,-0.006319,0.004172,0.009356,0.013210,0.027448,-0.012017,-0.022697,0.036891,1.750610
NGC3769,baryon-dom,93.790000,9.260000,13.870000,0.106919,9,True,0.022181,0.048212,-0.015881,-0.023094,-0.003343,-0.006073,0.004160,0.009439,0.017501,0.037567,-0.013527,-0.021560,0.048212,1.094967
NGC3893,baryon-dom,140.330000,9.120000,21.080000,0.112579,5,True,0.012994,0.028125,-0.010646,-0.018893,-0.002068,-0.003800,0.002515,0.005646,0.010277,0.021860,-0.008836,-0.016156,0.028125,1.970683
NGC3953,baryon-dom,169.410000,6.000000,38.670000,0.074224,3,True,0.010856,0.023240,-0.009264,-0.016924,-0.002062,-0.003787,0.002513,0.005650,0.008231,0.017287,-0.007360,-0.013819,0.023240,2.302700
NGC3992,baryon-dom,160.990000,12.100000,18.230000,0.056320,4,True,0.025385,0.052452,-0.022969,-0.041837,-0.003867,-0.007179,0.004589,0.010144,0.020770,0.042562,-0.019316,-0.036371,0.052452,1.296148
NGC4085,baryon-dom,100.400000,9.010000,15.260000,0.280553,3,True,0.010817,0.023159,-0.009243,-0.016910,-0.001766,-0.003258,0.002131,0.004764,0.008570,0.018043,-0.007625,-0.014280,0.023159,2.290199
NGC4088,baryon-dom,138.890000,6.400000,29.740000,0.190425,6,True,0.009806,0.021033,-0.008352,-0.015262,-0.001815,-0.003335,0.002209,0.004965,0.007489,0.015757,-0.006680,-0.012535,0.021033,2.478516
NGC4100,balanced,113.520000,11.430000,13.600000,0.067458,11,True,0.019344,0.040898,-0.016407,-0.028944,-0.002907,-0.005369,0.003493,0.007778,0.015681,0.032769,-0.013834,-0.025247,0.040898,1.518979
NGC4183,balanced,80.440000,10.890000,10.120000,0.050665,12,True,0.035494,0.071951,-0.031167,-0.026996,-0.005689,-0.010543,0.006754,0.014908,0.028883,0.058294,-0.026574,-0.034482,0.071951,0.897837
NGC4214,baryon-dom,62.610000,8.980000,9.550000,0.075850,7,True,-0.009678,-0.011485,0.013732,0.028483,0.002262,0.004311,-0.002486,-0.005176,-0.008280,-0.011910,0.010994,0.023087,0.028483,1.490351
NGC4389,baryon-dom,83.980000,7.090000,16.230000,0.459265,2,False,0.008438,0.018145,-0.007161,-0.013071,-0.001499,-0.002757,0.001822,0.004090,0.006517,0.013745,-0.005787,-0.010837,0.018145,2.687882
NGC4559,balanced,94.260000,8.780000,14.710000,0.126984,16,True,0.022693,0.047394,-0.020041,-0.036804,-0.003828,-0.007074,0.004591,0.010216,0.018014,0.037215,-0.016468,-0.031012,0.047394,1.403641
NGC5033,baryon-dom,133.170000,18.050000,10.100000,0.116293,12,True,0.019911,0.042991,-0.015361,-0.024987,-0.002446,-0.004507,0.002952,0.006590,0.016620,0.035494,-0.013458,-0.022884,0.042991,1.254424
NGC5055,balanced,118.400000,12.200000,13.290000,0.160641,18,True,0.011804,0.025559,-0.009715,-0.017334,-0.001695,-0.003125,0.002045,0.004569,0.009583,0.020415,-0.008233,-0.015071,0.025559,2.266818
NGC5585,baryon-dom,82.770000,6.200000,18.290000,0.132057,15,True,0.021188,0.044845,-0.017942,-0.031967,-0.003980,-0.007304,0.004853,0.010904,0.016151,0.033702,-0.014352,-0.026515,0.044845,1.360642
NGC6503,balanced,81.900000,13.600000,8.250000,0.085545,15,True,0.025793,0.054800,-0.019298,-0.027311,-0.003499,-0.006413,0.004265,0.009556,0.021141,0.044556,-0.016823,-0.026251,0.054800,1.036420
NGC6789,baryon-dom,45.360000,14.610000,4.250000,0.042759,2,False,0.038510,0.079529,-0.014037,0.016753,-0.004873,-0.008664,0.006162,0.013916,0.031830,0.065699,-0.015721,0.005570,0.079529,0.703762
NGC6946,baryon-dom,125.120000,8.430000,20.340000,0.124837,29,True,0.011661,0.025022,-0.009860,-0.017904,-0.001941,-0.003574,0.002351,0.005265,0.009172,0.019347,-0.008100,-0.015087,0.025022,2.175917
NGC7793,baryon-dom,82.580000,7.360000,15.380000,0.129667,36,True,0.009776,0.021617,-0.007730,-0.013565,-0.001645,-0.003009,0.002028,0.004592,0.007531,0.016261,-0.006318,-0.011460,0.021617,2.055158
UGC00191,balanced,67.790000,9.740000,9.540000,0.064191,7,True,0.032452,0.069297,-0.017078,-0.005594,-0.004570,-0.008114,0.005878,0.013463,0.025741,0.054747,-0.015983,-0.012504,0.069297,0.790360
UGC00634,balanced,74.550000,6.280000,16.260000,0.021761,1,False,0.037933,0.076115,-0.006622,0.028238,-0.007665,-0.014251,0.009062,0.019980,0.029348,0.058644,-0.014474,0.013816,0.076115,0.856801
UGC00731,balanced,55.160000,9.370000,8.060000,0.018165,6,True,0.038316,0.089443,0.047367,0.110466,0.004034,0.010313,0.001998,0.011133,0.028394,0.069496,0.036418,0.087055,0.110466,0.342069
UGC02259,balanced,64.410000,15.990000,5.520000,0.017697,3,True,0.047445,0.094497,0.018996,0.069872,-0.005699,-0.008571,0.007644,0.017123,0.039780,0.079340,0.011497,0.054747,0.094497,0.567459
UGC02916,balanced,140.210000,14.160000,13.560000,0.121810,36,True,0.016353,0.034896,-0.013728,-0.024542,-0.002259,-0.004177,0.002707,0.006022,0.013462,0.028369,-0.011737,-0.021522,0.034896,1.632887
UGC03580,balanced,99.710000,11.530000,11.850000,0.207952,39,True,0.018558,0.039405,-0.015650,-0.027899,-0.002766,-0.005107,0.003327,0.007416,0.015042,0.031551,-0.013199,-0.024213,0.039405,1.607953
UGC04278,balanced,76.120000,5.520000,18.890000,0.124689,12,True,0.036127,0.073612,-0.032237,-0.055173,-0.007387,-0.013600,0.008909,0.019838,0.027393,0.055515,-0.025453,-0.046626,0.073612,0.780441
UGC05005,DM-dom,74.100000,5.950000,17.060000,0.160395,7,True,0.036494,0.074338,-0.033006,-0.058870,-0.007279,-0.013430,0.008746,0.019446,0.027929,0.056577,-0.026166,-0.048876,0.074338,0.736782
UGC05716,balanced,56.510000,8.720000,8.870000,0.009937,5,True,0.043685,0.088903,0.032539,0.079983,-0.001708,0.002753,0.008005,0.019187,0.034576,0.070754,0.023591,0.062385,0.088903,0.600021
