Galaxy,Regime,mond_variant,sigma_baseline,n_inner_points,inner_region_defined,perturbation_label,delta_sigma,V_bar_over_V_MOND_inner_median,notes,max_abs_delta_sigma
NGC7793,baryon-dom,Ydisk,0.095261,36,Y,Ydisk_m10,-0.005448,0.7645,,0.021714
NGC7793,baryon-dom,Ydisk,0.095261,36,Y,Ydisk_p20,0.014053,0.7645,,0.021714
NGC7793,baryon-dom,Ydisk,0.095261,36,Y,Ydisk_m20,-0.008801,0.7645,,0.021714
NGC7793,baryon-dom,combined,0.095261,36,Y,both_p10,0.010127,0.7645,,0.021714
NGC7793,baryon-dom,combined,0.095261,36,Y,both_m10,-0.007028,0.7645,,0.021714
NGC7793,baryon-dom,combined,0.095261,36,Y,both_p20,0.021714,0.7645,,0.021714
NGC7793,baryon-dom,combined,0.095261,36,Y,both_m20,-0.008513,0.7645,,0.021714
NGC2998,baryon-dom,g_dag,0.113524,8,Y,gdag_p10,-0.000918,0.8517,,0.020703
NGC2998,baryon-dom,g_dag,0.113524,8,Y,gdag_m10,0.001241,0.8517,,0.020703
NGC2998,baryon-dom,g_dag,0.113524,8,Y,gdag_p20,-0.001559,0.8517,,0.020703
NGC2998,baryon-dom,g_dag,0.113524,8,Y,gdag_m20,0.002862,0.8517,,0.020703
NGC2998,baryon-dom,Ydisk,0.113524,8,Y,Ydisk_p10,-0.003314,0.8517,,0.020703
NGC2998,baryon-dom,Ydisk,0.113524,8,Y,Ydisk_m10,0.005783,0.8517,,0.020703
NGC2998,baryon-dom,Ydisk,0.113524,8,Y,Ydisk_p20,-0.004529,0.8517,,0.020703
NGC2998,baryon-dom,Ydisk,0.113524,8,Y,Ydisk_m20,0.014409,0.8517,,0.020703
NGC2998,baryon-dom,combined,0.113524,8,Y,both_p10,-0.003488,0.8517,,0.020703
NGC2998,baryon-dom,combined,0.113524,8,Y,both_m10,0.007858,0.8517,,0.020703
NGC2998,baryon-dom,combined,0.113524,8,Y,both_p20,-0.003362,0.8517,,0.020703
NGC2998,baryon-dom,combined,0.113524,8,Y,both_m20,0.020703,0.8517,,0.020703
NGC0024,baryon-dom,g_dag,0.056158,25,Y,gdag_p10,-0.001859,0.7369,,0.028555
NGC0024,baryon-dom,g_dag,0.056158,25,Y,gdag_m10,0.002849,0.7369,,0.028555
NGC0024,baryon-dom,g_dag,0.056158,25,Y,gdag_p20,-0.002847,0.7369,,0.028555
NGC0024,baryon-dom,g_dag,0.056158,25,Y,gdag_m20,0.006805,0.7369,,0.028555
NGC0024,baryon-dom,Ydisk,0.056158,25,Y,Ydisk_p10,-0.003066,0.7369,,0.028555
NGC0024,baryon-dom,Ydisk,0.056158,25,Y,Ydisk_m10,0.006578,0.7369,,0.028555
NGC0024,baryon-dom,Ydisk,0.056158,25,Y,Ydisk_p20,-0.002918,0.7369,,0.028555
NGC0024,baryon-dom,Ydisk,0.056158,25,Y,Ydisk_m20,0.016642,0.7369,,0.028555
NGC0024,baryon-dom,combined,0.056158,25,Y,both_p10,-0.003247,0.7369,,0.028555
NGC0024,baryon-dom,combined,0.056158,25,Y,both_m10,0.010909,0.7369,,0.028555
NGC0024,baryon-dom,combined,0.056158,25,Y,both_p20,0.00037,0.7369,,0.028555
NGC0024,baryon-dom,combined,0.056158,25,Y,both_m20,0.028555,0.7369,,0.028555
IC2574,baryon-dom,g_dag,0.040569,15,Y,gdag_p10,0.006177,0.2796,,0.022267
IC2574,baryon-dom,g_dag,0.040569,15,Y,gdag_m10,-0.004779,0.2796,,0.022267
IC2574,baryon-dom,g_dag,0.040569,15,Y,gdag_p20,0.012836,0.2796,,0.022267
IC2574,baryon-dom,g_dag,0.040569,15,Y,gdag_m20,-0.006528,0.2796,,0.022267
IC2574,baryon-dom,Ydisk,0.040569,15,Y,Ydisk_p10,0.004015,0.2796,,0.022267
IC2574,baryon-dom,Ydisk,0.040569,15,Y,Ydisk_m10,-0.003799,0.2796,,0.022267
IC2574,baryon-dom,Ydisk,0.040569,15,Y,Ydisk_p20,0.008083,0.2796,,0.022267
IC2574,baryon-dom,Ydisk,0.040569,15,Y,Ydisk_m20,-0.007083,0.2796,,0.022267
IC2574,baryon-dom,combined,0.040569,15,Y,both_p10,0.010695,0.2796,,0.022267
IC2574,baryon-dom,combined,0.040569,15,Y,both_m10,-0.00731,0.2796,,0.022267
IC2574,baryon-dom,combined,0.040569,15,Y,both_p20,0.022267,0.2796,,0.022267
IC2574,baryon-dom,combined,0.040569,15,Y,both_m20,-0.006552,0.2796,,0.022267
NGC3893,baryon-dom,g_dag,0.024285,5,Y,gdag_p10,-0.004158,0.8035,,0.040198
NGC3893,baryon-dom,g_dag,0.024285,5,Y,gdag_m10,0.005187,0.8035,,0.040198
NGC3893,baryon-dom,g_dag,0.024285,5,Y,gdag_p20,-0.007034,0.8035,,0.040198
NGC3893,baryon-dom,g_dag,0.024285,5,Y,gdag_m20,0.011265,0.8035,,0.040198
NGC3893,baryon-dom,Ydisk,0.024285,5,Y,Ydisk_p10,-0.004572,0.8035,,0.040198
NGC3893,baryon-dom,Ydisk,0.024285,5,Y,Ydisk_m10,0.01133,0.8035,,0.040198
NGC3893,baryon-dom,Ydisk,0.024285,5,Y,Ydisk_p20,-0.000535,0.8035,,0.040198
NGC3893,baryon-dom,Ydisk,0.024285,5,Y,Ydisk_m20,0.026351,0.8035,,0.040198
NGC3893,baryon-dom,combined,0.024285,5,Y,both_p10,-0.005223,0.8035,,0.040198
NGC3893,baryon-dom,combined,0.024285,5,Y,both_m10,0.017533,0.8035,,0.040198
NGC3893,baryon-dom,combined,0.024285,5,Y,both_p20,0.004806,0.8035,,0.040198
NGC3893,baryon-dom,combined,0.024285,5,Y,both_m20,0.040198,0.8035,,0.040198
DDO161,baryon-dom,g_dag,0.151803,16,Y,gdag_p10,0.00917,0.4468,,0.027822
DDO161,baryon-dom,g_dag,0.151803,16,Y,gdag_m10,-0.010065,0.4468,,0.027822
DDO161,baryon-dom,g_dag,0.151803,16,Y,gdag_p20,0.017592,0.4468,,0.027822
DDO161,baryon-dom,g_dag,0.151803,16,Y,gdag_m20,-0.021221,0.4468,,0.027822
