Galaxy,Regime,mond_variant,sigma_baseline,n_inner_points,inner_region_defined,perturbation_label,delta_sigma,V_bar_over_V_MOND_inner_median,notes,max_abs_delta_sigma
UGC02259,balanced,Ydisk,0.06141,3,Y,Ydisk_p10,-0.009783,0.5923,,0.042701
UGC02259,balanced,Ydisk,0.06141,3,Y,Ydisk_m10,0.011392,0.5923,,0.042701
UGC02259,balanced,Ydisk,0.06141,3,Y,Ydisk_p20,-0.017882,0.5923,,0.042701
UGC02259,balanced,Ydisk,0.06141,3,Y,Ydisk_m20,0.024464,0.5923,,0.042701
UGC02259,balanced,combined,0.06141,3,Y,both_p10,-0.015835,0.5923,,0.042701
UGC02259,balanced,combined,0.06141,3,Y,both_m10,0.01965,0.5923,,0.042701
UGC02259,balanced,combined,0.06141,3,Y,both_p20,-0.026307,0.5923,,0.042701
UGC02259,balanced,combined,0.06141,3,Y,both_m20,0.042701,0.5923,,0.042701
NGC4100,balanced,g_dag,0.037689,11,Y,gdag_p10,0.005314,0.8037,,0.036107
NGC4100,balanced,g_dag,0.037689,11,Y,gdag_m10,-0.00536,0.8037,,0.036107
NGC4100,balanced,g_dag,0.037689,11,Y,gdag_p20,0.010474,0.8037,,0.036107
NGC4100,balanced,g_dag,0.037689,11,Y,gdag_m20,-0.010504,0.8037,,0.036107
NGC4100,balanced,Ydisk,0.037689,11,Y,Ydisk_p10,0.012824,0.8037,,0.036107
NGC4100,balanced,Ydisk,0.037689,11,Y,Ydisk_m10,-0.011897,0.8037,,0.036107
NGC4100,balanced,Ydisk,0.037689,11,Y,Ydisk_p20,0.025318,0.8037,,0.036107
NGC4100,balanced,Ydisk,0.037689,11,Y,Ydisk_m20,-0.017404,0.8037,,0.036107
NGC4100,balanced,combined,0.037689,11,Y,both_p10,0.018355,0.8037,,0.036107
NGC4100,balanced,combined,0.037689,11,Y,both_m10,-0.015456,0.8037,,0.036107
NGC4100,balanced,combined,0.037689,11,Y,both_p20,0.036107,0.8037,,0.036107
NGC4100,balanced,combined,0.037689,11,Y,both_m20,-0.011857,0.8037,,0.036107
KK98-251,balanced,g_dag,0.242037,8,Y,gdag_p10,0.009464,0.3789,,0.029684
KK98-251,balanced,g_dag,0.242037,8,Y,gdag_m10,-0.01041,0.3789,,0.029684
KK98-251,balanced,g_dag,0.242037,8,Y,gdag_p20,0.018141,0.3789,,0.029684
KK98-251,balanced,g_dag,0.242037,8,Y,gdag_m20,-0.021979,0.3789,,0.029684
KK98-251,balanced,Ydisk,0.242037,8,Y,Ydisk_p10,0.003626,0.3789,,0.029684
KK98-251,balanced,Ydisk,0.242037,8,Y,Ydisk_m10,-0.003753,0.3789,,0.029684
KK98-251,balanced,Ydisk,0.242037,8,Y,Ydisk_p20,0.007135,0.3789,,0.029684
KK98-251,balanced,Ydisk,0.242037,8,Y,Ydisk_m20,-0.007642,0.3789,,0.029684
KK98-251,balanced,combined,0.242037,8,Y,both_p10,0.013078,0.3789,,0.029684
KK98-251,balanced,combined,0.242037,8,Y,both_m10,-0.014177,0.3789,,0.029684
KK98-251,balanced,combined,0.242037,8,Y,both_p20,0.025232,0.3789,,0.029684
KK98-251,balanced,combined,0.242037,8,Y,both_m20,-0.029684,0.3789,,0.029684
UGC05716,balanced,g_dag,0.066594,5,Y,gdag_p10,0.008676,0.5207,,0.043064
UGC05716,balanced,g_dag,0.066594,5,Y,gdag_m10,-0.009467,0.5207,,0.043064
UGC05716,balanced,g_dag,0.066594,5,Y,gdag_p20,0.016677,0.5207,,0.043064
UGC05716,balanced,g_dag,0.066594,5,Y,gdag_m20,-0.019861,0.5207,,0.043064
UGC05716,balanced,Ydisk,0.066594,5,Y,Ydisk_p10,0.010435,0.5207,,0.043064
UGC05716,balanced,Ydisk,0.066594,5,Y,Ydisk_m10,-0.011278,0.5207,,0.043064
UGC05716,balanced,Ydisk,0.066594,5,Y,Ydisk_p20,0.020135,0.5207,,0.043064
UGC05716,balanced,Ydisk,0.066594,5,Y,Ydisk_m20,-0.023499,0.5207,,0.043064
UGC05716,balanced,combined,0.066594,5,Y,both_p10,0.01906,0.5207,,0.043064
UGC05716,balanced,combined,0.066594,5,Y,both_m10,-0.020771,0.5207,,0.043064
UGC05716,balanced,combined,0.066594,5,Y,both_p20,0.03661,0.5207,,0.043064
UGC05716,balanced,combined,0.066594,5,Y,both_m20,-0.043064,0.5207,,0.043064
F571-8,balanced,g_dag,0.164784,10,Y,gdag_p10,-0.004434,0.5157,,0.025908
F571-8,balanced,g_dag,0.164784,10,Y,gdag_m10,0.005275,0.5157,,0.025908
F571-8,balanced,g_dag,0.164784,10,Y,gdag_p20,-0.008168,0.5157,,0.025908
F571-8,balanced,g_dag,0.164784,10,Y,gdag_m20,0.011575,0.5157,,0.025908
F571-8,balanced,Ydisk,0.164784,10,Y,Ydisk_p10,-0.004253,0.5157,,0.025908
F571-8,balanced,Ydisk,0.164784,10,Y,Ydisk_m10,0.005386,0.5157,,0.025908
F571-8,balanced,Ydisk,0.164784,10,Y,Ydisk_p20,-0.007554,0.5157,,0.025908
F571-8,balanced,Ydisk,0.164784,10,Y,Ydisk_m20,0.012139,0.5157,,0.025908
F571-8,balanced,combined,0.164784,10,Y,both_p10,-0.008168,0.5157,,0.025908
F571-8,balanced,combined,0.164784,10,Y,both_m10,0.011202,0.5157,,0.025908
F571-8,balanced,combined,0.164784,10,Y,both_p20,-0.013702,0.5157,,0.025908
F571-8,balanced,combined,0.164784,10,Y,both_m20,0.025908,0.5157,,0.025908
NGC6503,balanced,g_dag,0.029415,15,Y,gdag_p10,-0.002932,0.6025,,0.035593
NGC6503,balanced,g_dag,0.029415,15,Y,gdag_m10,0.00503,0.6025,,0.035593
NGC6503,balanced,g_dag,0.029415,15,Y,gdag_p20,-0.003707,0.6025,,0.035593
NGC6503,balanced,g_dag,0.029415,15,Y,gdag_m20,0.011957,0.6025,,0.035593
NGC6503,balanced,Ydisk,0.029415,15,Y,Ydisk_p10,-0.003304,0.6025,,0.035593
NGC6503,balanced,Ydisk,0.029415,15,Y,Ydisk_m10,0.007925,0.6025,,0.035593
NGC6503,balanced,Ydisk,0.029415,15,Y,Ydisk_p20,-0.001658,0.6025,,0.035593
NGC6503,balanced,Ydisk,0.029415,15,Y,Ydisk_m20,0.019272,0.6025,,0.035593
NGC6503,balanced,combined,0.029415,15,Y,both_p10,-0.002992,0.6025,,0.035593
NGC6503,balanced,combined,0.029415,15,Y,both_m10,0.014618,0.6025,,0.035593
NGC6503,balanced,combined,0.029415,15,Y,both_p20,0.005539,0.6025,,0.035593
NGC6503,balanced,combined,0.029415,15,Y,both_m20,0.035593,0.6025,,0.035593
NGC2403,DM-dom,g_dag,0.023102,52,Y,gdag_p10,-0.002607,0.7195,,0.037009
NGC2403,DM-dom,g_dag,0.023102,52,Y,gdag_m10,0.004758,0.7195,,0.037009
NGC2403,DM-dom,g_dag,0.023102,52,Y,gdag_p20,-0.002884,0.7195,,0.037009
NGC2403,DM-dom,g_dag,0.023102,52,Y,gdag_m20,0.011297,0.7195,,0.037009
NGC2403,DM-dom,Ydisk,0.023102,52,Y,Ydisk_p10,-0.002087,0.7195,,0.037009
NGC2403,DM-dom,Ydisk,0.023102,52,Y,Ydisk_m10,0.008587,0.7195,,0.037009
NGC2403,DM-dom,Ydisk,0.023102,52,Y,Ydisk_p20,0.002325,0.7195,,0.037009
NGC2403,DM-dom,Ydisk,0.023102,52,Y,Ydisk_m20,0.021247,0.7195,,0.037009
NGC2403,DM-dom,combined,0.023102,52,Y,both_p10,-0.000656,0.7195,,0.037009
NGC2403,DM-dom,combined,0.023102,52,Y,both_m10,0.01519,0.7195,,0.037009
NGC2403,DM-dom,combined,0.023102,52,Y,both_p20,0.010937,0.7195,,0.037009
NGC2403,DM-dom,combined,0.023102,52,Y,both_m20,0.037009,0.7195,,0.037009
NGC2955,DM-dom,g_dag,0.027783,18,Y,gdag_p10,0.002551,0.879,,0.014398
NGC2955,DM-dom,g_dag,0.027783,18,Y,gdag_m10,-0.00202,0.879,,0.014398
NGC2955,DM-dom,g_dag,0.027783,18,Y,gdag_p20,0.005406,0.879,,0.014398
NGC2955,DM-dom,g_dag,0.027783,18,Y,gdag_m20,-0.00319,0.879,,0.014398
NGC2955,DM-dom,Ydisk,0.027783,18,Y,Ydisk_p10,0.003604,0.879,,0.014398
NGC2955,DM-dom,Ydisk,0.027783,18,Y,Ydisk_m10,-0.00276,0.879,,0.014398
NGC2955,DM-dom,Ydisk,0.027783,18,Y,Ydisk_p20,0.007693,0.879,,0.014398
NGC2955,DM-dom,Ydisk,0.027783,18,Y,Ydisk_m20,-0.004189,0.879,,0.014398
NGC2955,DM-dom,combined,0.027783,18,Y,both_p10,0.006637,0.879,,0.014398
NGC2955,DM-dom,combined,0.027783,18,Y,both_m10,-0.003743,0.879,,0.014398
NGC2955,DM-dom,combined,0.027783,18,Y,both_p20,0.014398,0.879,,0.014398
NGC2955,DM-dom,combined,0.027783,18,Y,both_m20,-0.002276,0.879,,0.014398
UGC07261,baryon-dom,g_dag,0.049181,3,Y,gdag_p10,-0.00329,0.5596,,0.033243
UGC07261,baryon-dom,g_dag,0.049181,3,Y,gdag_m10,0.004912,0.5596,,0.033243
UGC07261,baryon-dom,g_dag,0.049181,3,Y,gdag_p20,-0.005075,0.5596,,0.033243
UGC07261,baryon-dom,g_dag,0.049181,3,Y,gdag_m20,0.011536,0.5596,,0.033243
UGC07261,baryon-dom,Ydisk,0.049181,3,Y,Ydisk_p10,-0.003909,0.5596,,0.033243
UGC07261,baryon-dom,Ydisk,0.049181,3,Y,Ydisk_m10,0.007004,0.5596,,0.033243
UGC07261,baryon-dom,Ydisk,0.049181,3,Y,Ydisk_p20,-0.004833,0.5596,,0.033243
UGC07261,baryon-dom,Ydisk,0.049181,3,Y,Ydisk_m20,0.017,0.5596,,0.033243
UGC07261,baryon-dom,combined,0.049181,3,Y,both_p10,-0.005125,0.5596,,0.033243
UGC07261,baryon-dom,combined,0.049181,3,Y,both_m10,0.013408,0.5596,,0.033243
UGC07261,baryon-dom,combined,0.049181,3,Y,both_p20,-0.001902,0.5596,,0.033243
UGC07261,baryon-dom,combined,0.049181,3,Y,both_m20,0.033243,0.5596,,0.033243
UGC11557,baryon-dom,g_dag,0.386134,7,Y,gdag_p10,0.006868,0.6114,,0.039253
UGC11557,baryon-dom,g_dag,0.386134,7,Y,gdag_m10,-0.00744,0.6114,,0.039253
UGC11557,baryon-dom,g_dag,0.386134,7,Y,gdag_p20,0.013249,0.6114,,0.039253
UGC11557,baryon-dom,g_dag,0.386134,7,Y,gdag_m20,-0.015561,0.6114,,0.039253
UGC11557,baryon-dom,Ydisk,0.386134,7,Y,Ydisk_p10,0.010515,0.6114,,0.039253
UGC11557,baryon-dom,Ydisk,0.386134,7,Y,Ydisk_m10,-0.011381,0.6114,,0.039253
UGC11557,baryon-dom,Ydisk,0.386134,7,Y,Ydisk_p20,0.020293,0.6114,,0.039253
UGC11557,baryon-dom,Ydisk,0.386134,7,Y,Ydisk_m20,-0.023793,0.6114,,0.039253
UGC11557,baryon-dom,combined,0.386134,7,Y,both_p10,0.017379,0.6114,,0.039253
UGC11557,baryon-dom,combined,0.386134,7,Y,both_m10,-0.018809,0.6114,,0.039253
UGC11557,baryon-dom,combined,0.386134,7,Y,both_p20,0.033509,0.6114,,0.039253
UGC11557,baryon-dom,combined,0.386134,7,Y,both_m20,-0.039253,0.6114,,0.039253
UGC09037,baryon-dom,g_dag,0.054519,10,Y,gdag_p10,0.004234,0.6071,,0.024713
UGC09037,baryon-dom,g_dag,0.054519,10,Y,gdag_m10,-0.003506,0.6071,,0.024713
UGC09037,baryon-dom,g_dag,0.054519,10,Y,gdag_p20,0.008836,0.6071,,0.024713
UGC09037,baryon-dom,g_dag,0.054519,10,Y,gdag_m20,-0.00573,0.6071,,0.024713
UGC09037,baryon-dom,Ydisk,0.054519,10,Y,Ydisk_p10,0.006667,0.6071,,0.024713
UGC09037,baryon-dom,Ydisk,0.054519,10,Y,Ydisk_m10,-0.005717,0.6071,,0.024713
UGC09037,baryon-dom,Ydisk,0.054519,10,Y,Ydisk_p20,0.013721,0.6071,,0.024713
UGC09037,baryon-dom,Ydisk,0.054519,10,Y,Ydisk_m20,-0.009519,0.6071,,0.024713
UGC09037,baryon-dom,combined,0.054519,10,Y,both_p10,0.011677,0.6071,,0.024713
UGC09037,baryon-dom,combined,0.054519,10,Y,both_m10,-0.007555,0.6071,,0.024713
UGC09037,baryon-dom,combined,0.054519,10,Y,both_p20,0.024713,0.6071,,0.024713
UGC09037,baryon-dom,combined,0.054519,10,Y,both_m20,-0.006531,0.6071,,0.024713
NGC4085,baryon-dom,g_dag,0.139787,3,Y,gdag_p10,0.004734,0.7865,,0.031873
NGC4085,baryon-dom,g_dag,0.139787,3,Y,gdag_m10,-0.004937,0.7865,,0.031873
NGC4085,baryon-dom,g_dag,0.139787,3,Y,gdag_p20,0.00927,0.7865,,0.031873
NGC4085,baryon-dom,g_dag,0.139787,3,Y,gdag_m20,-0.010079,0.7865,,0.031873
NGC4085,baryon-dom,Ydisk,0.139787,3,Y,Ydisk_p10,0.011319,0.7865,,0.031873
NGC4085,baryon-dom,Ydisk,0.139787,3,Y,Ydisk_m10,-0.011666,0.7865,,0.031873
NGC4085,baryon-dom,Ydisk,0.139787,3,Y,Ydisk_p20,0.022197,0.7865,,0.031873
NGC4085,baryon-dom,Ydisk,0.139787,3,Y,Ydisk_m20,-0.023444,0.7865,,0.031873
NGC4085,baryon-dom,combined,0.139787,3,Y,both_p10,0.016159,0.7865,,0.031873
NGC4085,baryon-dom,combined,0.139787,3,Y,both_m10,-0.016342,0.7865,,0.031873
NGC4085,baryon-dom,combined,0.139787,3,Y,both_p20,0.031734,0.7865,,0.031873
NGC4085,baryon-dom,combined,0.139787,3,Y,both_m20,-0.031873,0.7865,,0.031873
UGC06628,baryon-dom,g_dag,0.172124,3,Y,gdag_p10,0.008801,0.5052,,0.045892
UGC06628,baryon-dom,g_dag,0.172124,3,Y,gdag_m10,-0.009641,0.5052,,0.045892
UGC06628,baryon-dom,g_dag,0.172124,3,Y,gdag_p20,0.016898,0.5052,,0.045892
UGC06628,baryon-dom,g_dag,0.172124,3,Y,gdag_m20,-0.020302,0.5052,,0.045892
UGC06628,baryon-dom,Ydisk,0.172124,3,Y,Ydisk_p10,0.011104,0.5052,,0.045892
UGC06628,baryon-dom,Ydisk,0.172124,3,Y,Ydisk_m10,-0.0121,0.5052,,0.045892
UGC06628,baryon-dom,Ydisk,0.172124,3,Y,Ydisk_p20,0.021365,0.5052,,0.045892
UGC06628,baryon-dom,Ydisk,0.172124,3,Y,Ydisk_m20,-0.025394,0.5052,,0.045892
UGC06628,baryon-dom,combined,0.172124,3,Y,both_p10,0.019855,0.5052,,0.045892
UGC06628,baryon-dom,combined,0.172124,3,Y,both_m10,-0.021793,0.5052,,0.045892
UGC06628,baryon-dom,combined,0.172124,3,Y,both_p20,0.038072,0.5052,,0.045892
UGC06628,baryon-dom,combined,0.172124,3,Y,both_m20,-0.045892,0.5052,,0.045892
NGC2976,baryon-dom,g_dag,0.110903,15,Y,gdag_p10,0.005149,0.6062,,0.026144
NGC2976,baryon-dom,g_dag,0.110903,15,Y,gdag_m10,-0.005188,0.6062,,0.026144
NGC2976,baryon-dom,g_dag,0.110903,15,Y,gdag_p20,0.010195,0.6062,,0.026144
NGC2976,baryon-dom,g_dag,0.110903,15,Y,gdag_m20,-0.010299,0.6062,,0.026144
NGC2976,baryon-dom,Ydisk,0.110903,15,Y,Ydisk_p10,0.007301,0.6062,,0.026144
NGC2976,baryon-dom,Ydisk,0.110903,15,Y,Ydisk_m10,-0.007036,0.6062,,0.026144
NGC2976,baryon-dom,Ydisk,0.110903,15,Y,Ydisk_p20,0.014645,0.6062,,0.026144
NGC2976,baryon-dom,Ydisk,0.110903,15,Y,Ydisk_m20,-0.013426,0.6062,,0.026144
NGC2976,baryon-dom,combined,0.110903,15,Y,both_p10,0.012874,0.6062,,0.026144
NGC2976,baryon-dom,combined,0.110903,15,Y,both_m10,-0.011467,0.6062,,0.026144
NGC2976,baryon-dom,combined,0.110903,15,Y,both_p20,0.026144,0.6062,,0.026144
NGC2976,baryon-dom,combined,0.110903,15,Y,both_m20,-0.019628,0.6062,,0.026144
UGC00731,balanced,g_dag,0.02287,6,Y,gdag_p10,-0.000993,0.4357,,0.032743
UGC00731,balanced,g_dag,0.02287,6,Y,gdag_m10,0.004913,0.4357,,0.032743
UGC00731,balanced,g_dag,0.02287,6,Y,gdag_p20,0.001425,0.4357,,0.032743
UGC00731,balanced,g_dag,0.02287,6,Y,gdag_m20,0.0131,0.4357,,0.032743
UGC00731,balanced,Ydisk,0.02287,6,Y,Ydisk_p10,-0.002492,0.4357,,0.032743
UGC00731,balanced,Ydisk,0.02287,6,Y,Ydisk_m10,0.006051,0.4357,,0.032743
UGC00731,balanced,Ydisk,0.02287,6,Y,Ydisk_p20,-0.001165,0.4357,,0.032743
UGC00731,balanced,Ydisk,0.02287,6,Y,Ydisk_m20,0.014718,0.4357,,0.032743
UGC00731,balanced,combined,0.02287,6,Y,both_p10,0.000356,0.4357,,0.032743
UGC00731,balanced,combined,0.02287,6,Y,both_m10,0.013037,0.4357,,0.032743
UGC00731,balanced,combined,0.02287,6,Y,both_p20,0.011154,0.4357,,0.032743
UGC00731,balanced,combined,0.02287,6,Y,both_m20,0.032743,0.4357,,0.032743
NGC4559,balanced,g_dag,0.073587,16,Y,gdag_p10,0.007509,0.6696,,0.044724
NGC4559,balanced,g_dag,0.073587,16,Y,gdag_m10,-0.008129,0.6696,,0.044724
NGC4559,balanced,g_dag,0.073587,16,Y,gdag_p20,0.014482,0.6696,,0.044724
NGC4559,balanced,g_dag,0.073587,16,Y,gdag_m20,-0.016979,0.6696,,0.044724
NGC4559,balanced,Ydisk,0.073587,16,Y,Ydisk_p10,0.012238,0.6696,,0.044724
NGC4559,balanced,Ydisk,0.073587,16,Y,Ydisk_m10,-0.013256,0.6696,,0.044724
NGC4559,balanced,Ydisk,0.073587,16,Y,Ydisk_p20,0.023595,0.6696,,0.044724
NGC4559,balanced,Ydisk,0.073587,16,Y,Ydisk_m20,-0.027668,0.6696,,0.044724
NGC4559,balanced,combined,0.073587,16,Y,both_p10,0.019648,0.6696,,0.044724
NGC4559,balanced,combined,0.073587,16,Y,both_m10,-0.021474,0.6696,,0.044724
NGC4559,balanced,combined,0.073587,16,Y,both_p20,0.037702,0.6696,,0.044724
NGC4559,balanced,combined,0.073587,16,Y,both_m20,-0.044724,0.6696,,0.044724
D564-8,balanced,g_dag,0.193877,3,Y,gdag_p10,0.009303,0.3392,,0.033628
D564-8,balanced,g_dag,0.193877,3,Y,gdag_m10,-0.010198,0.3392,,0.033628
D564-8,balanced,g_dag,0.193877,3,Y,gdag_p20,0.017854,0.3392,,0.033628
D564-8,balanced,g_dag,0.193877,3,Y,gdag_m20,-0.021477,0.3392,,0.033628
D564-8,balanced,Ydisk,0.193877,3,Y,Ydisk_p10,0.005646,0.3392,,0.033628
D564-8,balanced,Ydisk,0.193877,3,Y,Ydisk_m10,-0.005938,0.3392,,0.033628
D564-8,balanced,Ydisk,0.193877,3,Y,Ydisk_p20,0.011028,0.3392,,0.033628
D564-8,balanced,Ydisk,0.193877,3,Y,Ydisk_m20,-0.012201,0.3392,,0.033628
D564-8,balanced,combined,0.193877,3,Y,both_p10,0.014951,0.3392,,0.033628
D564-8,balanced,combined,0.193877,3,Y,both_m10,-0.016128,0.3392,,0.033628
D564-8,balanced,combined,0.193877,3,Y,both_p20,0.028886,0.3392,,0.033628
D564-8,balanced,combined,0.193877,3,Y,both_m20,-0.033628,0.3392,,0.033628
UGC07323,balanced,g_dag,0.069714,4,Y,gdag_p10,0.008663,0.5353,,0.046284
UGC07323,balanced,g_dag,0.069714,4,Y,gdag_m10,-0.009458,0.5353,,0.046284
UGC07323,balanced,g_dag,0.069714,4,Y,gdag_p20,0.016651,0.5353,,0.046284
UGC07323,balanced,g_dag,0.069714,4,Y,gdag_m20,-0.019855,0.5353,,0.046284
UGC07323,balanced,Ydisk,0.069714,4,Y,Ydisk_p10,0.011817,0.5353,,0.046284
UGC07323,balanced,Ydisk,0.069714,4,Y,Ydisk_m10,-0.012906,0.5353,,0.046284
UGC07323,balanced,Ydisk,0.069714,4,Y,Ydisk_p20,0.022706,0.5353,,0.046284
UGC07323,balanced,Ydisk,0.069714,4,Y,Ydisk_m20,-0.027067,0.5353,,0.046284
UGC07323,balanced,combined,0.069714,4,Y,both_p10,0.020435,0.5353,,0.046284
UGC07323,balanced,combined,0.069714,4,Y,both_m10,-0.022365,0.5353,,0.046284
UGC07323,balanced,combined,0.069714,4,Y,both_p20,0.039166,0.5353,,0.046284
UGC07323,balanced,combined,0.069714,4,Y,both_m20,-0.046284,0.5353,,0.046284
UGC00191,balanced,g_dag,0.074749,7,Y,gdag_p10,0.006831,0.6221,,0.034095
UGC00191,balanced,g_dag,0.074749,7,Y,gdag_m10,-0.007128,0.6221,,0.034095
UGC00191,balanced,g_dag,0.074749,7,Y,gdag_p20,0.013333,0.6221,,0.034095
UGC00191,balanced,g_dag,0.074749,7,Y,gdag_m20,-0.014439,0.6221,,0.034095
UGC00191,balanced,Ydisk,0.074749,7,Y,Ydisk_p10,0.010339,0.6221,,0.034095
UGC00191,balanced,Ydisk,0.074749,7,Y,Ydisk_m10,-0.010586,0.6221,,0.034095
UGC00191,balanced,Ydisk,0.074749,7,Y,Ydisk_p20,0.020252,0.6221,,0.034095
UGC00191,balanced,Ydisk,0.074749,7,Y,Ydisk_m20,-0.0209,0.6221,,0.034095
UGC00191,balanced,combined,0.074749,7,Y,both_p10,0.017377,0.6221,,0.034095
UGC00191,balanced,combined,0.074749,7,Y,both_m10,-0.017087,0.6221,,0.034095
UGC00191,balanced,combined,0.074749,7,Y,both_p20,0.034095,0.6221,,0.034095
UGC00191,balanced,combined,0.074749,7,Y,both_m20,-0.030496,0.6221,,0.034095
UGC04278,balanced,g_dag,0.076035,12,Y,gdag_p10,0.006968,0.4535,,0.033017
UGC04278,balanced,g_dag,0.076035,12,Y,gdag_m10,-0.007057,0.4535,,0.033017
UGC04278,balanced,g_dag,0.076035,12,Y,gdag_p20,0.013715,0.4535,,0.033017
UGC04278,balanced,g_dag,0.076035,12,Y,gdag_m20,-0.013904,0.4535,,0.033017
UGC04278,balanced,Ydisk,0.076035,12,Y,Ydisk_p10,0.009063,0.4535,,0.033017
UGC04278,balanced,Ydisk,0.076035,12,Y,Ydisk_m10,-0.00885,0.4535,,0.033017
UGC04278,balanced,Ydisk,0.076035,12,Y,Ydisk_p20,0.017959,0.4535,,0.033017
UGC04278,balanced,Ydisk,0.076035,12,Y,Ydisk_m20,-0.016616,0.4535,,0.033017
UGC04278,balanced,combined,0.076035,12,Y,both_p10,0.016516,0.4535,,0.033017
UGC04278,balanced,combined,0.076035,12,Y,both_m10,-0.014723,0.4535,,0.033017
UGC04278,balanced,combined,0.076035,12,Y,both_p20,0.033017,0.4535,,0.033017
UGC04278,balanced,combined,0.076035,12,Y,both_m20,-0.022853,0.4535,,0.033017
UGC05918,balanced,g_dag,0.037199,3,Y,gdag_p10,-0.00586,0.357,,0.037025
UGC05918,balanced,g_dag,0.037199,3,Y,gdag_m10,0.007995,0.357,,0.037025
UGC05918,balanced,g_dag,0.037199,3,Y,gdag_p20,-0.009301,0.357,,0.037025
UGC05918,balanced,g_dag,0.037199,3,Y,gdag_m20,0.017962,0.357,,0.037025
UGC05918,balanced,Ydisk,0.037199,3,Y,Ydisk_p10,-0.006216,0.357,,0.037025
UGC05918,balanced,Ydisk,0.037199,3,Y,Ydisk_m10,0.00778,0.357,,0.037025
UGC05918,balanced,Ydisk,0.037199,3,Y,Ydisk_p20,-0.010557,0.357,,0.037025
UGC05918,balanced,Ydisk,0.037199,3,Y,Ydisk_m20,0.01697,0.357,,0.037025
UGC05918,balanced,combined,0.037199,3,Y,both_p10,-0.010192,0.357,,0.037025
UGC05918,balanced,combined,0.037199,3,Y,both_m10,0.016541,0.357,,0.037025
UGC05918,balanced,combined,0.037199,3,Y,both_p20,-0.010111,0.357,,0.037025
UGC05918,balanced,combined,0.037199,3,Y,both_m20,0.037025,0.357,,0.037025
UGC11820,balanced,g_dag,0.077076,6,Y,gdag_p10,0.006943,0.5537,,0.032283
UGC11820,balanced,g_dag,0.077076,6,Y,gdag_m10,-0.007147,0.5537,,0.032283
UGC11820,balanced,g_dag,0.077076,6,Y,gdag_p20,0.013602,0.5537,,0.032283
UGC11820,balanced,g_dag,0.077076,6,Y,gdag_m20,-0.014301,0.5537,,0.032283
UGC11820,balanced,Ydisk,0.077076,6,Y,Ydisk_p10,0.008994,0.5537,,0.032283
UGC11820,balanced,Ydisk,0.077076,6,Y,Ydisk_m10,-0.008961,0.5537,,0.032283
UGC11820,balanced,Ydisk,0.077076,6,Y,Ydisk_p20,0.017765,0.5537,,0.032283
UGC11820,balanced,Ydisk,0.077076,6,Y,Ydisk_m20,-0.017308,0.5537,,0.032283
UGC11820,balanced,combined,0.077076,6,Y,both_p10,0.016272,0.5537,,0.032283
UGC11820,balanced,combined,0.077076,6,Y,both_m10,-0.015264,0.5537,,0.032283
UGC11820,balanced,combined,0.077076,6,Y,both_p20,0.032283,0.5537,,0.032283
UGC11820,balanced,combined,0.077076,6,Y,both_m20,-0.025908,0.5537,,0.032283
NGC0247,DM-dom,g_dag,0.048761,12,Y,gdag_p10,0.007369,0.5366,,0.033702
NGC0247,DM-dom,g_dag,0.048761,12,Y,gdag_m10,-0.007451,0.5366,,0.033702
NGC0247,DM-dom,g_dag,0.048761,12,Y,gdag_p20,0.014459,0.5366,,0.033702
NGC0247,DM-dom,g_dag,0.048761,12,Y,gdag_m20,-0.014437,0.5366,,0.033702
NGC0247,DM-dom,Ydisk,0.048761,12,Y,Ydisk_p10,0.009241,0.5366,,0.033702
NGC0247,DM-dom,Ydisk,0.048761,12,Y,Ydisk_m10,-0.008916,0.5366,,0.033702
NGC0247,DM-dom,Ydisk,0.048761,12,Y,Ydisk_p20,0.018308,0.5366,,0.033702
NGC0247,DM-dom,Ydisk,0.048761,12,Y,Ydisk_m20,-0.016147,0.5366,,0.033702
NGC0247,DM-dom,combined,0.048761,12,Y,both_p10,0.016999,0.5366,,0.033702
NGC0247,DM-dom,combined,0.048761,12,Y,both_m10,-0.014893,0.5366,,0.033702
NGC0247,DM-dom,combined,0.048761,12,Y,both_p20,0.033702,0.5366,,0.033702
NGC0247,DM-dom,combined,0.048761,12,Y,both_m20,-0.018726,0.5366,,0.033702
UGC06399,DM-dom,g_dag,0.053143,4,Y,gdag_p10,0.003561,0.5044,,0.021822
UGC06399,DM-dom,g_dag,0.053143,4,Y,gdag_m10,-0.002356,0.5044,,0.021822
UGC06399,DM-dom,g_dag,0.053143,4,Y,gdag_p20,0.007815,0.5044,,0.021822
UGC06399,DM-dom,g_dag,0.053143,4,Y,gdag_m20,-0.002814,0.5044,,0.021822
UGC06399,DM-dom,Ydisk,0.053143,4,Y,Ydisk_p10,0.004714,0.5044,,0.021822
UGC06399,DM-dom,Ydisk,0.053143,4,Y,Ydisk_m10,-0.002977,0.5044,,0.021822
UGC06399,DM-dom,Ydisk,0.053143,4,Y,Ydisk_p20,0.010389,0.5044,,0.021822
UGC06399,DM-dom,Ydisk,0.053143,4,Y,Ydisk_m20,-0.003194,0.5044,,0.021822
UGC06399,DM-dom,combined,0.053143,4,Y,both_p10,0.009531,0.5044,,0.021822
UGC06399,DM-dom,combined,0.053143,4,Y,both_m10,-0.003101,0.5044,,0.021822
UGC06399,DM-dom,combined,0.053143,4,Y,both_p20,0.021822,0.5044,,0.021822
