name,Rd_star,Mstar,hz_star,Rd_gas,Mgas,hz_gas
NGC5985,7.01,1.04364e+11,1.40,12.62,1.54094e+10,0.15
NGC6015,2.30,1.60645e+10,0.46,4.14,7.75922e+09,0.15
NGC6195,13.94,1.95538e+11,2.79,25.09,2.78063e+10,0.15
NGC6503,2.16,6.4225e+09,0.43,3.89,2.31952e+09,0.15
NGC6674,6.04,1.07327e+11,1.21,10.87,4.27795e+10,0.15
NGC6789,0.31,50000000.000000,0.06,0.56,22610000.000000,0.15
NGC6946,2.44,3.30865e+10,0.49,4.39,7.5411e+09,0.15
NGC7331,5.02,1.25316e+11,1.00,9.04,1.47191e+10,0.15
NGC7793,1.21,3.525e+09,0.24,2.18,1.14513e+09,0.15
NGC7814,2.54,3.72645e+10,0.51,4.57,1.4231e+09,0.15
PGC51017,0.53,77500000.000000,0.11,0.95,267330000.000000,0.15
UGC00128,5.95,6.01e+09,1.19,10.71,9.88323e+09,0.15
UGC00191,1.58,1.002e+09,0.32,2.84,1.78619e+09,0.15
UGC00634,2.45,1.4945e+09,0.49,4.41,4.87179e+09,0.15
UGC00731,2.30,161500000.000000,0.46,4.14,2.40331e+09,0.15
UGC00891,1.43,187000000.000000,0.29,2.57,569240000.000000,0.15
UGC01230,4.34,3.81e+09,0.87,7.81,8.5519e+09,0.15
UGC01281,1.63,176500000.000000,0.33,2.93,391020000.000000,0.15
UGC02023,1.55,654000000.000000,0.31,2.79,634410000.000000,0.15
UGC02259,1.62,862500000.000000,0.32,2.92,657020000.000000,0.15
UGC02455,0.99,1.8245e+09,0.20,1.78,1.06799e+09,0.15
UGC02487,7.89,2.44978e+11,1.58,14.20,2.38908e+10,0.15
UGC02885,11.40,2.01762e+11,2.28,20.52,5.32998e+10,0.15
UGC02916,6.15,6.20765e+10,1.23,11.07,3.09531e+10,0.15
UGC02953,3.55,1.29759e+11,0.71,6.39,1.02117e+10,0.15
UGC03205,3.19,5.6821e+10,0.64,5.74,1.28704e+10,0.15
UGC03546,3.79,5.0668e+10,0.76,6.82,3.55775e+09,0.15
UGC03580,2.43,6.633e+09,0.49,4.37,5.8121e+09,0.15
UGC04278,2.21,653500000.000000,0.44,3.98,1.48428e+09,0.15
UGC04305,1.16,368000000.000000,0.23,2.09,917700000.000000,0.15
UGC04325,1.86,1.013e+09,0.37,3.35,901740000.000000,0.15
UGC04483,0.18,6500000.000000,0.04,0.32,42560000.000000,0.15
UGC04499,1.73,776000000.000000,0.35,3.11,1.463e+09,0.15
UGC05005,3.20,2.05e+09,0.64,5.76,4.11369e+09,0.15
UGC05253,8.07,8.5791e+10,1.61,14.53,2.18067e+10,0.15
UGC05414,1.47,561500000.000000,0.29,2.65,763420000.000000,0.15
UGC05716,1.14,294000000.000000,0.23,2.05,1.45502e+09,0.15
UGC05721,0.38,265500000.000000,0.08,0.68,747460000.000000,0.15
UGC05750,3.46,1.668e+09,0.69,6.23,1.46167e+09,0.15
UGC05764,1.17,42500000.000000,0.23,2.11,216790000.000000,0.15
UGC05829,1.99,282000000.000000,0.40,3.58,1.36059e+09,0.15
UGC05918,1.66,116500000.000000,0.33,2.99,395010000.000000,0.15
UGC05986,1.67,2.3475e+09,0.33,3.01,3.54711e+09,0.15
UGC05999,3.22,1.692e+09,0.64,5.80,2.68926e+09,0.15
UGC06399,2.05,1.148e+09,0.41,3.69,896420000.000000,0.15
UGC06446,1.49,494000000.000000,0.30,2.68,1.83407e+09,0.15
UGC06614,5.10,6.2175e+10,1.02,9.18,2.9111e+10,0.15
UGC06628,2.82,1.8695e+09,0.56,5.08,1.995e+09,0.15
UGC06667,5.15,698500000.000000,1.03,9.27,1.07597e+09,0.15
UGC06786,3.60,3.67035e+10,0.72,6.48,6.6899e+09,0.15
UGC06787,5.37,4.9128e+10,1.07,9.67,6.6899e+09,0.15
UGC06818,1.39,794000000.000000,0.28,2.50,1.43507e+09,0.15
UGC06917,2.76,3.416e+09,0.55,4.97,2.69059e+09,0.15
UGC06923,1.44,1.445e+09,0.29,2.59,1.07597e+09,0.15
UGC06930,3.94,4.466e+09,0.79,7.09,4.30521e+09,0.15
UGC06973,1.07,2.6935e+10,0.21,1.93,2.33149e+09,0.15
UGC06983,3.21,2.649e+09,0.64,5.78,3.94611e+09,0.15
UGC07089,2.26,1.7925e+09,0.45,4.07,1.61462e+09,0.15
UGC07125,3.38,1.356e+09,0.68,6.08,6.15657e+09,0.15
