galaxy,status,test1_pass,test2_r,test2_N,test2_max_dV_kms,test3_sigma_h1_dex,test3_sigma_h2_dex,test3_delta_sigma_dex,mean_L_eff_kpc,min_L_eff_kpc,max_L_eff_kpc,L_eff_at_Rmax_kpc
NGC6946,OK,1.0,-0.3713,21.0,0.4266,0.1479,0.1479,-0.0,120.4553,66.6667,200.0,200.0
NGC5585,OK,1.0,0.1821,21.0,0.1147,0.2878,0.2878,0.0,127.6569,66.6684,200.0,200.0
NGC3893,OK,1.0,0.2494,21.0,0.3175,0.1808,0.1808,0.0,124.5084,66.6667,200.0,200.0
NGC2903,OK,1.0,0.3397,21.0,0.2411,0.2986,0.2986,0.0,118.9625,66.6667,200.0,200.0
NGC5055,OK,1.0,0.3541,21.0,2.3971,0.3577,0.3577,0.0,121.4856,66.6667,200.0,200.0
NGC5907,FAILED_PHASE4,,,,,,,,,,,
NGC6503,OK,1.0,0.3185,21.0,2.5074,0.2777,0.2777,0.0,121.2004,66.6667,200.0,200.0
